n  V      B_V
123 18.038 0.506
123 19.597 0.0
123 19.192 0.649
123 19.410 0.0
123 19.836 0.0
123 17.508 0.495
123 17.730 0.495
123 18.561 0.618
123 18.532 0.509
123 19.117 0.0
123 18.388 0.0
123 18.572 0.574
123 19.824 0.0
123 18.143 0.430
123 14.579 0.860
123 18.540 0.606
123 16.704 0.706
123 18.570 0.624
123 18.743 0.434
123 18.802 0.0
123 17.631 0.506
123 19.046 0.570
123 19.709 0.614
123 19.229 0.593
123 15.740 0.786
123 19.061 0.827
123 18.511 0.420
123 19.085 0.490
123 19.865 0.0
123 19.379 0.914
123 17.180 0.647
123 19.643 0.0
123 16.936 0.736
123 18.537 0.574
123 18.943 0.497
123 18.806 0.605
123 18.315 0.428
123 17.426 0.561
123 19.363 0.636
123 15.034 0.827
123 16.793 0.701
123 15.171 0.021
123 18.967 0.538
123 18.233 0.527
123 18.056 0.584
123 19.269 0.538
123 18.496 0.566
123 19.440 0.543
123 17.786 0.509
123 17.867 0.476
123 18.083 0.560
123 19.737 0.0
123 19.414 0.0
123 19.429 0.0
123 15.928 0.721
123 17.644 0.531
123 19.878 0.0
123 12.760 1.128
123 19.579 0.558
123 19.226 0.0
123 18.368 0.536
123 18.317 0.0
123 18.315 0.517
123 17.160 0.662
123 19.315 0.544
123 17.908 0.510
123 18.942 0.488
123 19.280 0.710
123 18.407 0.546
123 19.063 0.615
123 18.066 0.569
123 18.402 0.461
123 18.047 0.487
123 17.566 0.551
123 17.904 0.523
123 16.988 0.682
123 18.500 0.573
123 17.950 0.520
123 19.222 0.529
123 19.762 0.0
123 19.672 0.0
123 18.550 0.569
123 19.028 0.0
123 19.451 0.737
123 16.963 0.566
123 18.340 0.599
123 17.755 0.511
123 18.333 0.586
123 18.169 0.518
123 19.493 0.0
123 16.315 0.697
123 17.563 0.509
123 18.360 0.501
123 18.700 0.421
123 19.367 0.633
123 18.418 0.580
123 18.873 0.730
123 18.797 0.604
123 19.606 0.0
123 16.980 0.700
123 16.528 0.729
123 18.828 0.585
123 17.727 0.482
123 18.839 0.665
123 19.585 0.0
123 18.873 0.474
123 17.912 0.454
123 18.442 0.519
123 14.714 0.850
123 18.307 0.443
123 19.436 0.653
123 14.724 0.120
123 19.575 0.657
123 19.282 0.768
123 17.145 0.617
123 17.163 0.649
123 18.391 0.592
123 17.477 0.573
123 16.553 0.698
123 19.190 0.633
123 18.035 0.461
123 19.031 0.587
123 19.237 0.528
123 15.420 0.804
123 18.565 0.519
123 19.765 0.0
123 18.007 0.837
123 18.913 0.492
123 19.107 0.991
123 18.917 0.568
123 19.245 0.726
123 19.122 0.588
123 19.445 0.0
123 19.813 0.0
123 19.629 0.0
123 18.798 0.0
123 17.589 0.525
123 16.078 0.747
123 19.088 0.604
123 18.560 0.0
123 18.428 0.540
123 18.230 0.473
123 18.468 0.512
123 16.667 0.718
123 18.813 0.703
123 19.496 0.0
123 17.874 0.536
123 19.256 0.0
123 18.080 1.069
123 18.318 0.446
123 13.510 0.959
123 18.031 0.520
123 19.184 0.615
123 16.667 0.0
123 14.521 0.148
123 15.094 0.033
123 18.122 0.516
123 15.133 0.829
123 19.028 0.626
123 17.527 0.496
123 19.057 0.436
123 19.476 0.0
123 18.319 0.0
123 17.672 1.209
123 19.010 0.612
123 19.862 0.0
123 17.478 0.519
123 17.030 0.695
123 18.890 0.804
123 17.272 0.646
123 18.876 0.586
123 17.633 0.536
123 19.682 0.0
123 19.638 0.0
123 14.878 1.229
123 19.523 0.0
123 18.471 0.508
123 17.958 0.505
123 15.233 0.815
123 17.854 0.503
123 16.467 0.728
123 19.469 0.532
123 18.924 0.692
123 18.851 0.627
123 19.002 0.595
123 18.083 0.579
123 19.392 0.549
123 19.088 0.558
123 18.467 0.495
123 18.960 0.547
123 18.500 0.455
213 20.087 0.0
123 19.138 0.0
123 15.756 0.714
123 18.651 0.589
123 17.424 0.602
123 19.739 0.0
123 19.058 0.597
123 19.780 0.0
123 19.258 0.0
123 17.370 0.590
123 19.695 0.0
123 18.981 0.434
123 18.436 0.569
123 19.806 0.0
123 18.568 0.632
123 17.686 0.469
123 19.273 0.500
123 19.768 0.0
123 18.656 0.555
123 18.791 0.469
123 18.085 0.430
123 17.865 0.504
123 19.863 0.0
123 19.560 0.0
123 19.020 0.709
123 18.222 0.504
123 15.401 0.811
123 18.028 0.435
123 19.131 0.512
123 18.485 0.633
123 14.885 0.812
123 19.256 0.604
123 19.915 0.0
123 18.381 0.574
123 18.087 0.489
123 17.048 0.700
123 18.303 0.503
123 17.998 0.558
123 17.969 0.497
123 18.417 0.523
123 19.022 0.580
123 20.134 0.0
123 19.405 0.586
123 18.823 0.526
123 19.375 0.585
123 18.158 0.449
123 13.690 0.842
123 18.449 0.538
123 19.577 0.0
123 19.565 0.631
123 18.297 0.575
123 19.476 0.731
123 19.771 0.0
123 17.995 0.498
123 19.774 0.0
123 18.911 0.601
123 19.790 0.0
123 18.891 0.468
123 19.583 0.462
123 18.245 0.466
123 18.824 0.697
123 18.072 0.546
123 18.396 0.568
123 18.541 0.0
123 19.278 0.767
123 19.303 0.711
123 18.453 0.585
123 19.790 0.0
123 17.740 0.529
123 18.850 0.572
123 15.877 0.761
123 18.334 0.518
123 19.626 0.575
123 19.664 0.0
123 17.997 0.468
123 19.269 0.635
123 19.825 0.0
123 14.894 0.840
123 19.331 0.507
123 17.408 0.575
123 17.918 0.529
123 18.229 0.500
123 18.510 0.0
123 19.150 0.567
123 18.240 0.546
123 19.241 0.644
123 18.156 0.480
123 17.480 0.535
123 17.092 0.571
123 16.672 0.733
