#No	Ref	B	V
106	354	9.26	9.3
106	478	9.24	9.29
107	104	8.955	7.78
107	315	8.89	7.74
107	324	8.917	7.781
107	354	8.93	7.78
107	478	8.89	7.76
107	1341	8.98	7.76
107	1601	8.9	7.78
108	324	8.77	8.823
108	354	8.76	8.8
108	478	8.76	8.81
109	72	5.91	6.07
109	324	5.906	6.085
109	354	5.92	6.08
109	478	5.87	6.05
109	1341	5.89	6.08
109	1383	5.86	6.04
110	324	11.488	11.347
110	354	11.49	11.35
110	478	11.29	11.07
110	1341	11.47	11.36
111	324	13.059	11.821
111	1341	13.04	11.82
112	354	12.92	12.51
112	478	12.96	12.55
112	1341	12.87	12.51
113	354	14.06	13.51
113	1341	14.07	13.47
114	1341	14.67	13.96
115	324	10.434	10.359
115	354	10.37	10.34
115	478	10.41	10.34
116	104	7.79	7.87
116	324	7.76	7.848
116	354	7.76	7.85
116	478	7.74	7.85
117	104	8.55	8.61
117	324	8.493	8.564
117	354	8.48	8.55
117	478	8.44	8.55
118	324	10.626	10.567
119	324	9.942	9.901
119	354	9.95	9.89
119	478	9.86	9.84
120	324	9.956	9.935
120	354	10	9.99
120	478	9.93	9.92
121	324	10.278	10.267
121	354	10.28	10.27
121	478	10.32	10.27
122	324	10.961	10.894
122	354	10.95	10.88
123	324	11.056	10.99
123	478	11.08	10.92
124	324	11.913	11.709
125	324	12.106	11.848
131	354	13.18	12.73
132	354	14.05	13.56
133	354	13.42	12.9
140	354	13.6	13.14
150	354	14.19	13.64
156	354	14.57	13.82
158	354	14.36	13.73
160	354	14.68	14.04
161	354	14.73	14.09
168	354	14.77	14.2
174	324	11.219	11.135
174	354	11.24	11.13
175	324	10.307	10.303
175	354	10.29	10.29
177	324	12.773	11.588
178	324	11.24	11.155
179	324	11.172	10.847
180	324	9.378	9.44
181	324	10.934	10.677
182	324	10.694	10.427
183	324	13.342	11.722
184	324	12.718	11.683
185	324	13.205	11.97
186	324	12.29	11.743
187	324	13.488	11.674
188	324	11.581	10.813
189	324	11.682	10.586
190	324	10.792	9.437
191	324	11.078	10.999
192	324	11.297	11.152
193	324	10.783	10.623
194	324	11.934	10.828
195	324	12.267	11.315
196	324	12.624	11.438
197	324	9.68	9.645
198	324	11.892	10.665
199	324	12.122	10.909
200	324	9.275	9.265
201	324	10.339	10.326
201	354	10.32	10.3
201	478	10.31	10.29
202	324	10.718	10.669
202	354	10.69	10.64
202	478	10.69	10.65
203	478	11.94	11.3
204	315	9.07	7.82
204	354	9.03	7.78
204	478	9.01	7.78
205	478	11.37	11
206	324	11.745	11.2
206	478	11.67	10.92
207	324	10.36	8.805
207	354	10.4	8.82
208	324	10.442	10.325
208	354	10.33	10.32
210	324	11.731	11.176
212	324	10.913	10.824
213	324	10.984	10.899
214	324	11.186	11.056
215	324	11.276	11.148
216	324	11.295	11.114
217	324	11.838	11.398
218	324	10.814	10.76
219	324	11.804	11.607
220	324	11.927	11.722
223	324	11.83	11.628
226	324	12.324	10.704
229	324	12.201	11.703
231	324	11.343	10.887
232	324	9.346	9.425
233	324	11.843	10.347
234	324	9.593	8.161
235	324	9.12	9.174
236	324	10.924	10.869
240	354	15.56	14.98
241	354	12.12	11.9
