Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux          OMC        SNR
82     829.39   220.83   3.781    3.569    -1.269   14.956   51872.1       29.36      115.5
83     963.08   336.02   3.655    3.566    -1.203   14.958   51783.6       34.13      102.7
84     59.937   168.07   3.942    3.619    0.7102   14.976   50897.1       58.25      54.06
85     348.35   223.92   3.789    3.686    -1.299   14.978   50838         102.6      31.32
86     114.22   60.903   4.086    3.607    0.7433   14.994   50091.4       54.44      55.1
87     38.236   295.66   3.951    3.752    -1.478   15.001   49734.2       55.22      53.62
88     542.71   70.435   3.73     3.598    -1.304   15.005   49551.4       44.5       73.23
89     156.33   1143.1   3.741    3.537    -0.424   15.017   49015.6       34.42      94.99
90     435.22   462.97   3.649    3.515    1.529    15.028   48539         36.12      92.45
91     973.51   189.14   3.767    3.605    -1.36    15.059   47160.8       23.72      129.2
92     312.13   545.54   3.635    3.557    -1.242   15.061   47064.5       24.75      129.8
93     1367.1   210.09   3.946    3.66     -1.12    15.069   46743.9       24.11      118.5
94     1113.8   502.36   3.772    3.649    1.401    15.072   46600.2       25.71      116.2
95     113.15   889.13   3.74     3.603    -0.3373  15.073   46571.1       24.28      125.6
96     221.46   350.26   3.672    3.606    -1.139   15.086   45986.3       34.58      88.64
97     16.918   111.23   4.206    3.827    0.05291  15.133   44074.3       70.88      34.09
98     309.6    182.19   3.446    3.365    -0.8635  15.151   43312.5       108.4      30.41
99     1260.4   1361.9   3.979    3.658    -1.309   15.167   42682         28.54      90.67
100    668.1    1134.8   3.838    3.654    -1.047   15.185   42007.8       26.28      100.6
101    270.09   526.65   3.591    3.47     -1.305   15.187   41929.9       40.68      73.01
102    397.73   214.26   3.617    3.582    -1.142   15.199   41444.6       33.35      84.64
103    199.7    301.66   3.647    3.604    1.354    15.205   41229.1       52.71      52.53
104    519.31   1995.9   3.889    3.575    -1.202   15.222   40595.7       31.53      81.75
105    300.09   305.1    3.705    3.579    -1.498   15.222   40585.8       29.95      90.19
106    658.28   889.8    3.803    3.727    -1.423   15.233   40184.8       24.69      101.4
107    282.32   155.09   3.774    3.509    0.9483   15.244   39757.4       89.03      29.76
108    830.37   194.4    3.762    3.633    -1.243   15.25    39552.3       35.03      72.92
109    430.02   130.3    3.577    3.42     -1.179   15.256   39327         241.2      11.76
110    428.3    1962.5   3.92     3.564    -0.9993  15.257   39300.8       32.25      76.99
111    51.84    673.18   3.687    3.663    0.1252   15.263   39067.8       25.64      99.57
112    638.07   521.06   5.015    3.613    -1.117   15.269   38883.4       50.12      37.79
113    269.63   78.942   3.701    3.654    1.335    15.278   38533.6       36.95      68.05
114    241.02   283.58   3.592    3.551    0.9234   15.316   37228.5       126.5      20.36
115    459.89   984.39   3.741    3.62     -0.4376  15.316   37210.1       26.47      91.64
116    87.108   614.43   3.603    3.528    0.1549   15.316   37206.9       22.87      112.9
117    225.47   468.16   3.603    3.493    -1.338   15.319   37104.7       69.95      37.19
118    583.84   97.807   3.569    3.373    -1.194   15.324   36953.1       146.8      18.45
119    797.31   272      3.681    3.521    -1.281   15.324   36940.3       21.69      116
120    1127.3   681.22   3.829    3.675    1.511    15.345   36227.3       19.62      115.8
121    354.1    95.313   3.913    3.61     -0.08583 15.352   36008.9       70.97      31.7
122    1134.3   95.391   3.836    3.572    -1.117   15.361   35710.5       19.36      118.8
123    263.36   145.67   3.732    3.6      0.9848   15.368   35484.7       82.07      28.41
124    357.94   234.63   5.31     4.336    -1.321   15.389   34811.4       169.8      7.857
125    1997.1   557.42   3.71     3.662    1.555    15.392   34703.5       21.47      105
126    565.07   405.2    4.043    3.941    -1.298   15.392   34697.6       126.3      15.22
127    187.04   87.172   3.816    3.712    0.3991   15.422   33755.2       35.55      59.16
128    859.81   770.84   3.592    3.448    -1.236   15.43    33520.2       153.8      15.53
129    360.92   81.235   4.034    3.591    0.8466   15.437   33293         49.22      41.21
130    314.52   349.03   3.682    3.67     0.5      15.449   32933.2       25.35      84.85
131    800.39   377.44   3.593    3.44     -1.043   15.488   31780.5       26.83      84.58
132    63.119   138.44   3.687    3.522    0.6612   15.513   31059.4       66.93      31.54
133    697.85   453.67   3.658    3.525    -1.074   15.513   31050.4       23.03      92.3
134    223.27   131.93   3.764    3.656    -0.1393  15.52    30848.4       36.12      54.76
135    109.24   328.49   3.628    3.587    -1.239   15.537   30380.1       67.76      30.41
136    594.38   528.72   5.554    3.571    1.253    15.546   30106.9       85.89      15.59
137    338.11   211.14   3.47     3.388    -0.0917  15.564   29617         139        16
138    225.05   312.82   3.819    3.578    1.289    15.576   29304.9       43.13      43.89
139    680.23   354.04   3.635    3.46     -1.323   15.628   27916.6       16.87      116.1
140    65.806   186.76   4.001    3.543    0.1186   15.633   27793.8       50.39      34.34
141    274.76   889.73   3.718    3.619    -0.9931  15.642   27557         15.57      116.1
142    1364.4   84.248   3.748    3.607    -1.098   15.647   27444.2       14.96      119.8
143    615.13   174.15   3.659    3.468    -1.149   15.658   27154.5       34.92      54.08
144    184.54   419.25   3.563    3.472    -1.31    15.673   26780.4       53.37      35.8
145    40.98    1150.7   3.701    3.54     -0.4959  15.679   26639.3       20.12      89.18
146    435.19   530.48   3.607    3.51     -1.092   15.687   26458.4       47.23      39.06
147    1484.3   239.12   3.907    3.649    -1.374   15.694   26282.7       12.47      130.4
148    43.754   27.277   4.152    3.663    0.5119   15.701   26104.5       46.84      32.34
149    624.43   1332.8   3.842    3.705    -1.496   15.703   26070.4       17.98      89.88
150    156.72   474.03   3.671    3.596    0.7478   15.706   25999         27.17      63.97
151    178.38   118.36   3.787    3.625    1.079    15.717   25728.2       76.13      21.73
152    794.47   402.13   3.734    3.551    -1.078   15.75    24948.2       16.66      99.67
153    335.65   229.11   3.651    3.51     1.549    15.759   24760.2       70.16      24.3
154    52.73    225.97   3.892    3.599    0.3325   15.77    24503.4       53.66      28.77
155    1699.6   447.18   3.883    3.677    -1.225   15.775   24385.7       12.86      117.2
156    145.66   289.54   12.33    4.916    -0.922   15.805   23721.1       49.07      7.039
157    166.68   385.31   3.968    3.615    -1.493   15.814   23529.3       42.77      33.85
158    1186     182.48   3.826    3.509    -1.164   15.818   23446.8       16.03      96.19
159    548.52   951.99   3.697    3.68     -0.8804  15.845   22859.6       14.75      100.5
160    1123.8   209.49   3.821    3.54     -1.195   15.86    22547.2       11.83      124.3
161    1716     235.89   3.779    3.61     -1.476   15.872   22298         10.86      132.8
162    21.802   274.31   3.773    3.554    0.541    15.884   22050.9       31.44      46.15
163    1304.3   1201.9   3.749    3.619    -1.464   15.888   21986.1       15.14      94.45
164    211.94   303.59   3.687    3.603    -1.557   15.909   21558         77.29      18.53
165    953.18   234.57   3.755    3.574    -1.178   15.954   20680.5       11.26      120.8
166    15.37    92.983   4.505    3.698    0.6507   15.955   20666.8       50.87      21.52
167    278.07   767.19   3.681    3.508    0.2901   15.958   20600.2       31.65      44.48
168    237.93   213.42   3.809    3.569    -1.495   15.96    20577.3       51.16      26.11
169    83.157   129.03   3.617    3.425    0.8446   15.965   20480.4       90.71      16.08
170    375.19   557.98   3.602    3.564    -1.089   15.967   20445.2       17.99      78.13
171    50.943   86.88    3.769    3.474    1.19     15.974   20310.3       81.56      16.78
172    1575.7   826.85   3.814    3.603    -1.366   15.98    20190.8       12.63      102.6
173    165.83   228.56   4.037    3.669    1.114    15.99    20013         39.1       30.5
174    330.55   361.41   4        3.644    -1.09    16.004   19756.7       32.79      36.48
175    177.8    323.56   3.551    3.463    -0.9862  16.004   19743.1       39.75      35.64
176    188.48   523.96   3.857    3.593    -0.9006  16.006   19722.6       19.85      63.28
177    1200.4   1436.3   4.005    3.633    -1.305   16.008   19682.1       14.17      84.25
178    119.12   145.81   8.668    4.073    -0.01581 16.009   19661.6       65.7       7.482
179    26.031   41.394   4.751    3.705    1.035    16.011   19616.3       37.31      26.36
180    251.89   105.06   3.929    3.797    -1.483   16.021   19436.2       38.11      30.16
181    63.838   266.09   3.703    3.569    0.5324   16.026   19353.2       29.6       43.67
182    1696.2   1239.4   3.77     3.593    -1.405   16.034   19205.7       11.15      112.2
183    590.05   653.87   5.486    3.693    -1.244   16.05    18925.6       26.54      31.06
184    330.25   807.41   3.671    3.493    -0.8166  16.083   18369.5       13.48      93.8
185    532.24   183.23   3.693    3.639    -1.386   16.087   18298.2       20.41      58.86
186    65.679   344.5    3.682    3.557    1.123    16.107   17965.2       118.3      10.24
187    230.64   239.26   4.411    4.135    0.3116   16.111   17892.3       88.1       9.827
188    771.73   154.6    3.675    3.45     -1.293   16.13    17580.4       26.16      46.78
189    230.98   146.19   4.195    3.574    0.8738   16.134   17520.9       32.71      31.53
190    142.35   58.638   6.057    4.294    -0.7943  16.137   17475.8       38.24      15.51
191    873.61   468.69   3.713    3.553    -1.153   16.139   17447.8       9.759      119.6
192    225.9    111.82   3.761    3.595    1.173    16.152   17227.5       35.96      31.28
193    928.61   638.38   3.805    3.667    1.569    16.162   17077.5       9.606      112.4
194    438.45   156.22   6.844    5.215    -1.281   16.171   16941.6       36.53      11.47
195    171.27   205.89   3.582    3.372    0.3129   16.177   16850.1       67.32      18.29
196    225.98   13.075   4.79     3.815    1.179    16.179   16806.9       33.06      24.55
197    75.167   349.37   3.848    3.576    -0.9468  16.182   16763.1       125.2      8.586
198    180.38   275.7    4.169    3.503    1.445    16.188   16665.3       56.15      17.93
199    214.21   503.87   3.642    3.584    -1.377   16.191   16622.2       20.96      53.63
200    1026.5   386.33   3.72     3.644    0.9571   16.192   16611.9       12.88      83.94
201    182.2    301      3.729    3.672    -0.8034  16.21    16345         17.02      61.91
202    615.18   335.94   3.769    3.481    -1.232   16.211   16325         18.88      58.17
203    196.22   110.21   3.73     3.404    -0.2104  16.218   16212.9       69.49      16.22
204    175.43   243.29   7.578    3.885    1.052    16.232   16009.5       55         8.726
205    984.06   493.69   3.702    3.66     1.134    16.236   15955.1       8.871      117.2
206    204.67   443.66   3.621    3.518    -1.311   16.247   15793.2       22.12      49.47
207    701.47   100.13   3.68     3.584    -0.03772 16.262   15573.3       12.11      86.1
208    26.067   55.92    6.815    4.098    -1.267   16.271   15451.9       40.9       11.94
209    855.8    749.76   3.851    3.714    -1.409   16.281   15308.6       9.22       102.4
210    31.247   457.16   3.531    3.511    0.135    16.289   15198.3       43.12      25.09
211    261.15   342.29   3.711    3.634    1.526    16.299   15055         29.57      33.31
212    325.58   524.01   3.591    3.477    -1.403   16.303   15001.6       45.01      23.56
213    628.09   1762.6   3.829    3.603    -0.9725  16.327   14663.9       10.68      87.85
214    108.08   212.77   9.271    4.032    -0.2701  16.33    14624.3       66.33      5.205
215    367.43   47.09    4.33     3.791    0.3188   16.332   14597.7       15.87      49.45
216    984.19   1035.2   3.864    3.663    -1.428   16.344   14447.4       8.482      106.2
217    182.91   129.47   3.835    3.561    0.06838  16.346   14416.2       142.1      6.555
218    638.44   1942.8   3.834    3.576    -1.167   16.354   14310.7       11.71      78.65
219    590.56   316.18   3.551    3.449    -1.436   16.36    14223.8       23.45      43.71
220    1096.2   195.39   3.725    3.507    -1.269   16.363   14186.5       10.05      95.34
221    37.642   235.11   3.911    3.664    0.6819   16.367   14144.2       17.98      48.46
222    792.7    112.2    3.637    3.481    -0.9607  16.367   14135.1       19.37      50.88
223    110.72   83.969   4.167    4.095    -0.4356  16.375   14032.4       78.77      9.214
224    779.08   98.308   3.663    3.451    -1.136   16.382   13939.7       20.79      46.81
225    239.12   92.156   3.39     3.072    -1.502   16.384   13914.3       136.5      8.635
226    1549.8   493.55   3.769    3.633    -1.467   16.385   13908.4       8.269      108.4
227    117.46   1214.1   3.898    3.601    -1.076   16.388   13866.2       14.3       60.98
