# ID  jfk    jdf     V      uncV   B_V   B_VUn
 504 1187.01  115.03 19.994 0.006  0.514 0.009
 505  857.51  261.68 19.995 0.006  0.501 0.009
 506  801.62  287.38 19.995 0.006  0.494 0.009
 507 1504.99   96.25 19.996 0.006  0.525 0.009
 508   43.88  758.88 20.000 0.006  0.493 0.009
 509  484.52  429.01 20.000 0.010  0.534 0.013
 510  130.52  328.60 20.002 0.007  0.510 0.009
 511  156.56  442.18 20.004 0.006  0.476 0.009
 512 1221.33  550.54 20.009 0.006  0.463 0.009
 513  588.01  149.18 20.016 0.006  0.495 0.009
 514  471.40 1641.27 20.020 0.006  0.515 0.009
 515 1075.57  217.78 20.022 0.006  0.493 0.009
 516 1532.53  657.22 20.028 0.006  0.541 0.009
 517  315.80 1039.87 20.030 0.006  0.499 0.009
 518  692.64  401.26 20.032 0.007  0.501 0.009
 519  234.84   71.86 20.038 0.007  0.470 0.010
 520  898.14  464.11 20.038 0.006  0.476 0.009
 521  320.58  269.19 20.041 0.007  0.528 0.009
 522  388.04  271.37 20.044 0.006  0.505 0.008
 523   73.07  726.84 20.045 0.006  0.496 0.009
 524    1.74 1645.89 20.047 0.010  0.504 0.014
 525  787.05  914.43 20.050 0.007  0.484 0.009
 526  370.48 1168.15 20.051 0.006  0.610 0.009
 527  801.20  682.09 20.051 0.006  0.489 0.009
 528  886.75   25.90 20.053 0.007  0.490 0.010
 529  334.58 1641.97 20.055 0.006  0.534 0.009
 530  675.53  754.64 20.056 0.007  0.489 0.009
 531 1422.18  351.13 20.058 0.007  0.517 0.009
 532  311.61  591.67 20.058 0.006  0.499 0.009
 533    9.51   77.39 20.059 0.013  0.464 0.017
 534  138.14 1307.92 20.063 0.006  0.507 0.009
 535  429.78   97.57 20.067 0.006  0.503 0.009
 536 1281.35  416.03 20.069 0.006  0.514 0.009
 537  190.48 1533.32 20.072 0.007  0.519 0.009
 538  621.76  529.07 20.078 0.006  0.481 0.009
 539  693.19 1123.18 20.079 0.006  0.569 0.009
 540  305.95  606.80 20.081 0.008  0.355 0.013
 541  318.54 1497.99 20.082 0.006  0.503 0.009
 542  242.90  907.57 20.083 0.008  0.490 0.012
 543  140.33 1090.95 20.089 0.006  0.514 0.009
 544  514.34 1563.48 20.091 0.006  0.497 0.009
 545  599.58 1266.37 20.093 0.006  0.498 0.009
 546 1274.91  222.54 20.094 0.006  0.510 0.009
 547  257.82  285.03 20.095 0.007  0.529 0.009
 548 1866.83  260.52 20.096 0.007  0.504 0.009
 549  747.83   54.51 20.101 0.007  0.517 0.009
 550  698.08 1352.24 20.102 0.006  0.494 0.009
 551   79.26  572.28 20.103 0.006  0.513 0.009
 552 1030.44 1628.61 20.103 0.006  0.487 0.009
 553  282.86  379.28 20.104 0.007  0.517 0.009
 554 1039.82 1215.11 20.105 0.007  0.487 0.009
 555   74.62  450.53 20.106 0.006  0.482 0.009
 556 1290.76  734.18 20.106 0.007  1.487 0.012
 557 1930.29  392.80 20.107 0.006  0.525 0.009
 558  393.54  841.82 20.118 0.007  0.491 0.009
 559 1106.67  945.14 20.123 0.007  0.497 0.009
 560   87.63  171.45 20.127 0.008  0.568 0.010
 561   75.86 1673.26 20.127 0.007  0.517 0.009
 562 1359.92 2034.91 20.130 0.007  0.508 0.010
 563  791.81  532.85 20.135 0.007  0.495 0.009
 564  288.88  599.69 20.138 0.006  0.485 0.009
 565  142.18 1049.56 20.139 0.007  0.510 0.010
 566  633.73 1514.29 20.139 0.007  0.533 0.009
 567 1199.48  955.67 20.140 0.006  0.473 0.009
 568  900.91  569.85 20.140 0.007  0.506 0.009
 569  261.28  980.12 20.142 0.007  0.499 0.009
 570 1496.58  297.89 20.142 0.006  0.527 0.009
 571  454.17 1049.53 20.157 0.006  0.572 0.009
 572  716.03  270.03 20.160 0.007  0.498 0.009
 573  910.07  869.41 20.161 0.008  0.484 0.011
 574  174.66 1909.26 20.161 0.007  0.532 0.010
 575  523.72  282.09 20.166 0.007  0.638 0.010
 576 1596.82  530.35 20.166 0.007  0.525 0.009
 577 1009.77  291.44 20.167 0.007  0.498 0.009
 578   38.72  220.02 20.168 0.007  0.522 0.010
 579    9.33  559.50 20.169 0.009  0.505 0.013
 580  209.00  345.50 20.170 0.007  0.545 0.010
 581  383.79 1682.94 20.171 0.007  0.524 0.009
 582   65.42  290.07 20.176 0.007  0.517 0.010
 583 1065.70  248.69 20.177 0.007  0.534 0.009
 584  791.87  104.34 20.178 0.006  0.507 0.009
 585  855.52  595.90 20.179 0.007  0.521 0.009
 586  579.96 1952.64 20.179 0.007  0.525 0.009
 587  162.98   63.59 20.182 0.008  0.423 0.013
 588 1412.98 1726.17 20.185 0.007  0.507 0.009
 589  215.54 1115.32 20.187 0.007  0.525 0.009
 590 1497.13  181.45 20.188 0.007  0.532 0.009
 591 1158.01   28.37 20.188 0.007  0.522 0.010
 592 1501.24  474.16 20.189 0.006  0.521 0.009
 593  522.69   49.30 20.194 0.007  0.523 0.010
 594   65.22 1711.64 20.200 0.007  0.529 0.010
 595  150.57   17.10 20.204 0.009  0.470 0.014
 596  207.89 1102.77 20.204 0.007  0.531 0.009
 597  322.12  622.29 20.206 0.007  0.533 0.010
 598  867.54 1854.57 20.212 0.007  0.550 0.009
 599 1010.49   73.22 20.212 0.007  0.550 0.010
 600 1248.37  845.06 20.214 0.007  1.789 0.015
 601  204.55 1301.69 20.215 0.007  0.539 0.009
 602 1104.10   64.80 20.215 0.006  0.517 0.009
 603 1099.32 1310.44 20.219 0.007  0.521 0.010
 604 1478.81 1266.56 20.219 0.007  0.520 0.009
 605  111.42  170.92 20.221 0.006  0.540 0.010
 606   47.29 1398.09 20.223 0.007  0.528 0.009
 607 1305.28  172.85 20.223 0.007  0.553 0.009
 608  184.49   42.54 20.223 0.007  0.629 0.010
 609  575.66 1309.28 20.224 0.007  0.516 0.010
 610   18.34 1242.34 20.225 0.009  0.524 0.013
 611  989.94 2010.51 20.227 0.006  0.517 0.009
 612  238.41  234.97 20.229 0.007  0.519 0.010
 613  150.96  941.32 20.230 0.007  0.524 0.009
 614 1350.48  207.42 20.231 0.007  0.528 0.009
 615  271.91  684.00 20.232 0.007  0.533 0.009
 616   98.91  415.29 20.236 0.007  0.521 0.009
 617  567.77  130.92 20.236 0.007  0.524 0.009
 618  750.52 1259.61 20.236 0.007  0.519 0.009
 619  565.69 1955.32 20.239 0.007  0.534 0.009
 620  797.40 1318.24 20.243 0.007  0.519 0.010
 621   37.41 1912.60 20.244 0.009  0.513 0.012
 622  736.06  539.98 20.245 0.007  0.525 0.010
 623   48.15 1822.83 20.246 0.008  0.641 0.011
 624  727.05 1455.83 20.249 0.007  0.523 0.010
 625  728.80 1693.83 20.250 0.007  0.534 0.010
 626  432.56  739.68 20.251 0.008  0.538 0.011
 627  241.07  590.83 20.253 0.007  0.554 0.010
 628  525.89  307.02 20.255 0.007  0.528 0.010
 629 1350.32 1304.84 20.256 0.007  0.512 0.009
 630  528.23  930.87 20.257 0.007  0.516 0.009
 631  438.08  612.96 20.258 0.007  0.527 0.010
 632  908.94 1350.42 20.260 0.007  0.502 0.009
 633 1400.13 1351.47 20.261 0.006  0.494 0.010
 634 1224.03 1037.41 20.262 0.007  0.513 0.010
 635 1692.77 1603.47 20.264 0.007  0.539 0.010
 636   18.88  825.77 20.268 0.009  0.541 0.013
 637 1822.44  335.24 20.276 0.007  0.588 0.009
 638  234.60  563.38 20.277 0.007  0.521 0.009
 639  122.42  944.80 20.284 0.007  0.532 0.010
 640   57.15  206.84 20.284 0.007  0.520 0.010
 641  467.12  145.61 20.284 0.007  0.511 0.010
 642 1022.64   84.37 20.288 0.007  0.523 0.010
 643  726.77   52.45 20.288 0.007  0.514 0.010
 644 1615.45 1288.47 20.289 0.007  0.503 0.010
 645  136.17  632.60 20.289 0.007  0.637 0.010
 646  424.78  471.54 20.291 0.007  0.531 0.010
 647   42.00  108.62 20.291 0.007  0.537 0.010
 648  689.76  857.86 20.293 0.009  0.553 0.011
 649 1910.67  595.85 20.299 0.007  0.546 0.009
 650  763.19  473.27 20.299 0.007  0.527 0.010
 651  398.08  503.63 20.299 0.007  0.530 0.010
 652  595.42 1210.38 20.300 0.007  0.525 0.010
 653  276.45 1314.37 20.304 0.007  0.551 0.010
 654 1088.65  241.22 20.306 0.007  0.520 0.010
 655 1797.19  837.91 20.306 0.007  0.534 0.010
 656  471.40  193.32 20.307 0.007  0.567 0.010
 657  239.65  182.71 20.308 0.007  0.532 0.010
 658  595.80 1121.57 20.310 0.007  0.527 0.010
 659    2.07 1811.58 20.311 0.013  0.529 0.017
 660   79.04  668.05 20.313 0.007  0.541 0.010
 661 1038.79  428.95 20.313 0.007  0.522 0.010
 662  225.22   29.18 20.314 0.008  0.775 0.012
 663  533.64  223.80 20.314 0.007  0.547 0.010
 664 1500.02  451.68 20.314 0.007  0.532 0.010
 665  189.68  394.24 20.315 0.007  0.542 0.010
 666  557.69  445.98 20.321 0.007  0.530 0.010
 667  486.03  512.67 20.322 0.007  0.508 0.010
 668   87.01  226.01 20.326 0.010  0.591 0.013
 669  541.73 1059.07 20.326 0.007  0.555 0.010
 670  278.39  324.88 20.328 0.007  0.537 0.010
 671  625.13   16.21 20.328 0.011  0.572 0.014
 672  101.10  261.91 20.329 0.010  0.615 0.013
 673  405.39  409.29 20.333 0.007  0.522 0.010
 674  840.13  194.40 20.335 0.007  0.533 0.010
 675  415.75  647.95 20.336 0.007  0.529 0.010
 676  829.51  353.28 20.336 0.007  0.550 0.010
 677 1013.64  187.21 20.339 0.007  0.563 0.011
 678   90.66  511.91 20.340 0.007  0.538 0.010
 679  552.17  151.11 20.341 0.008  0.551 0.011
 680  144.96    8.11 20.342 0.008  0.507 0.012
 681 1086.77  155.11 20.344 0.007  0.530 0.010
 682   14.12  158.05 20.345 0.015  0.653 0.019
 683 1534.70  842.48 20.352 0.007  0.525 0.010
 684  561.08  472.08 20.352 0.007  0.533 0.010
 685  335.49  286.54 20.356 0.007  0.672 0.010
 686 1614.10 1659.67 20.358 0.007  0.558 0.010
 687  206.52  958.74 20.358 0.007  0.537 0.010
 688  426.01  733.51 20.359 0.007  0.534 0.010
 689  344.89 1919.62 20.361 0.007  0.556 0.010
 690 1161.65  557.83 20.361 0.007  0.542 0.010
 691   31.27  379.01 20.362 0.007  0.495 0.010
 692 1479.67 1726.74 20.366 0.007  0.560 0.010
 693  685.76  131.41 20.372 0.007  0.530 0.010
 694 1768.50 1816.70 20.372 0.007  0.556 0.011
 695  326.55  188.97 20.373 0.008  0.553 0.011
 696  809.19 1506.30 20.374 0.007  0.534 0.010
 697  453.39  287.14 20.374 0.009  0.689 0.013
 698 1270.74  417.72 20.376 0.007  0.543 0.010
 699  258.81  691.02 20.377 0.008  0.515 0.011
 700   87.42  417.13 20.377 0.008  0.597 0.011
 701  205.19  580.27 20.382 0.007  0.508 0.010
 702  395.98 1722.49 20.383 0.007  0.652 0.010
 703  261.44  824.80 20.383 0.007  0.541 0.010
 704  445.35  204.05 20.384 0.007  0.555 0.010
 705  744.39 1739.99 20.387 0.007  1.044 0.011
 706  890.47  818.14 20.391 0.007  0.530 0.010
 707 2015.87  612.94 20.392 0.007  0.555 0.010
 708  234.88 1717.21 20.392 0.007  0.523 0.010
 709  619.42 1753.64 20.395 0.007  0.473 0.009
 710  304.61  630.20 20.396 0.007  0.543 0.010
 711  100.92  105.50 20.396 0.007  0.558 0.010
 712   99.97  601.84 20.407 0.008  0.551 0.011
 713 1652.70  319.36 20.409 0.007  0.542 0.010
 714  107.01  962.79 20.415 0.008  0.556 0.010
 715  168.47  126.97 20.415 0.011  0.538 0.015
 716  285.72  528.14 20.415 0.008  0.525 0.010
 717  104.94 1638.62 20.418 0.007  0.564 0.010
 718 1339.77  611.72 20.421 0.008  0.531 0.011
 719    5.20  581.49 20.422 0.012  0.506 0.018
 720 1978.11  114.13 20.423 0.009  0.547 0.012
 721 2019.84 1434.33 20.424 0.007  0.545 0.011
 722  514.19  770.55 20.428 0.007  0.534 0.010
 723  116.63  640.41 20.434 0.007  0.543 0.010
 724  611.34   48.76 20.435 0.007  0.538 0.011
 725  105.56  437.72 20.436 0.008  0.534 0.011
 726 1254.94 1130.00 20.438 0.007  0.533 0.010
 727  167.41  666.75 20.438 0.007  0.548 0.010
 728  139.06  697.29 20.443 0.007  0.528 0.011
 729  136.59   67.21 20.445 0.009  0.533 0.013
 730  834.14   62.53 20.446 0.007  0.556 0.010
 731  974.20  255.01 20.447 0.008  0.534 0.011
 732  706.79 1100.91 20.447 0.009  0.534 0.011
 733  664.26   86.80 20.448 0.008  0.541 0.011
 734 1641.22  238.06 20.448 0.007  0.569 0.011
 735 1572.93  278.85 20.452 0.008  0.572 0.010
 736  412.66  469.55 20.455 0.007  0.558 0.011
 737 1004.46  591.93 20.456 0.007  0.554 0.011
 738  663.61 1239.23 20.456 0.007  0.540 0.011
 739  564.61 1693.30 20.457 0.007  0.545 0.010
 740 1263.28  369.80 20.457 0.008  0.542 0.011
 741    2.82 1197.51 20.462 0.010  0.514 0.014
 742 1198.48  349.92 20.463 0.008  0.541 0.011
 743 1852.49  723.24 20.465 0.008  1.519 0.014
 744  266.24  337.53 20.466 0.009  0.607 0.012
 745  459.26 1085.36 20.467 0.007  0.525 0.010
 746 1604.07 2013.96 20.470 0.007  0.566 0.012
 747  847.61   45.35 20.471 0.007  0.539 0.011
 748 1770.40  548.70 20.472 0.008  0.594 0.011
 749  510.38  970.19 20.472 0.007  0.540 0.011
 750  477.58   68.17 20.474 0.008  0.560 0.010
 751  308.65  205.22 20.475 0.008  0.681 0.011
 752  688.67  373.98 20.476 0.008  0.566 0.011
 753 1604.72  968.51 20.476 0.008  0.533 0.011
 754   63.28  809.79 20.477 0.008  0.550 0.011
 755  416.22 2013.26 20.481 0.008  0.556 0.011
 756  907.83  597.50 20.482 0.008  0.521 0.011
 757   53.93  625.20 20.484 0.008  0.553 0.011
 758   39.69 1844.52 20.484 0.009  0.559 0.013
 759  148.97  525.19 20.485 0.008  0.577 0.011
 760  698.05 1761.05 20.487 0.007  0.565 0.010
 761  936.94   17.71 20.488 0.008  0.540 0.011
 762  938.62  310.46 20.488 0.008  0.557 0.011
 763 1266.20 1002.02 20.490 0.008  0.515 0.011
 764  230.59  738.15 20.490 0.008  0.534 0.011
 765 1849.22 1662.50 20.491 0.008  0.968 0.013
 766  263.13 2041.20 20.492 0.010  0.600 0.015
 767  105.19  304.01 20.492 0.007  0.599 0.011
 768  691.21  633.26 20.493 0.008  0.541 0.011
 769  335.92 1721.30 20.494 0.008  0.567 0.011
 770  235.95   89.46 20.495 0.009  0.557 0.013
 771  405.78  606.79 20.499 0.009  0.549 0.012
 772  660.00  474.04 20.499 0.007  0.557 0.011
 773  499.75  397.48 20.500 0.008  0.583 0.011
 774   69.85  993.33 20.503 0.008  0.565 0.011
 775  559.63 1463.77 20.505 0.007  0.553 0.010
 776  443.16  130.41 20.505 0.007  0.567 0.011
 777  560.50  964.39 20.508 0.008  0.554 0.011
 778  293.92   57.33 20.508 0.007  0.569 0.011
 779  834.75  497.88 20.510 0.008  0.529 0.011
 780 1632.55 1295.26 20.511 0.012  1.538 0.020
 781  452.08  487.25 20.514 0.008  0.597 0.011
 782  970.96 1553.65 20.515 0.008  0.511 0.012
 783  585.40  372.19 20.521 0.009  0.685 0.012
 784   77.09  202.25 20.523 0.008  0.556 0.011
 785 2024.15  875.08 20.526 0.008  0.584 0.011
 786 1048.45  285.34 20.527 0.008  0.548 0.011
 787 1349.55  200.84 20.527 0.008  0.563 0.011
 788 1537.51   63.49 20.527 0.008  0.555 0.011
 789 1707.56  535.02 20.527 0.007  1.472 0.015
 790  485.02  523.68 20.528 0.008  0.564 0.011
 791  129.56  238.71 20.529 0.008  0.541 0.011
 792  143.19  379.63 20.531 0.008  0.566 0.013
 793  347.28 1661.60 20.534 0.008  0.574 0.011
 794   36.50  240.26 20.534 0.010  0.534 0.015
 795  429.17  361.67 20.535 0.008  0.546 0.011
 796  385.52  726.95 20.537 0.008  0.549 0.012
 797  138.86   12.08 20.545 0.009  0.545 0.013
 798  582.28 1142.33 20.546 0.008  0.546 0.011
 799 1420.41  781.02 20.547 0.008  0.554 0.012
 800  593.82   96.86 20.547 0.008  0.576 0.011
 801  134.16  190.81 20.548 0.008  0.577 0.012
 802  366.31  153.99 20.549 0.008  0.541 0.011
 803 1250.96  600.50 20.551 0.008  0.546 0.011
 804 1825.75 1249.79 20.552 0.008  0.564 0.011
 805  339.81 1617.23 20.553 0.008  0.578 0.012
 806 1287.12 1030.59 20.553 0.007  0.534 0.011
 807 1927.62  895.88 20.553 0.009  0.604 0.012
 808  259.23  109.04 20.556 0.008  0.603 0.012
 809   31.12  391.08 20.557 0.010  0.583 0.013
 810   32.96 1197.72 20.558 0.008  0.590 0.011
 811  459.07 1492.12 20.559 0.007  0.689 0.011
 812  226.17   51.47 20.559 0.008  0.576 0.011
 813  216.95 1125.94 20.560 0.008  0.539 0.011
 814 1025.83  788.40 20.560 0.009  0.562 0.012
 815  103.57  421.56 20.564 0.008  0.583 0.011
 816 2035.44  285.54 20.565 0.007  0.532 0.011
 817  455.89  545.52 20.568 0.008  0.660 0.012
 818 1372.56 1068.25 20.570 0.007  0.506 0.011
 819  902.65  969.62 20.570 0.008  0.558 0.012
 820  856.01  241.67 20.571 0.008  0.565 0.011
 821  180.62  256.08 20.571 0.008  0.599 0.011
 822   17.42  731.53 20.572 0.011  0.577 0.015
 823    8.83  248.40 20.573 0.010  0.556 0.015
 824 1354.83  798.56 20.574 0.009  0.574 0.012
 825 1085.42 1325.81 20.576 0.009  0.566 0.012
 826  284.60 1289.63 20.579 0.008  0.566 0.011
 827  328.91  884.12 20.579 0.008  0.531 0.011
 828  290.85  145.29 20.581 0.009  0.707 0.012
 829   53.14  745.39 20.582 0.008  0.554 0.012
 830  114.16  328.05 20.583 0.008  0.584 0.012
 831  578.57 1250.62 20.584 0.008  0.575 0.011
 832  328.03  124.04 20.584 0.009  0.581 0.012
 833  258.43  761.52 20.585 0.008  0.629 0.012
 834 1901.11 1278.59 20.589 0.008  0.594 0.012
 835 1012.33 1521.40 20.590 0.008  0.541 0.011
 836  699.22   90.66 20.591 0.008  0.565 0.012
 837  332.22  625.40 20.592 0.008  0.532 0.011
 838  219.48   49.86 20.594 0.009  0.608 0.013
 839 1317.77  915.01 20.597 0.008  0.564 0.012
 840   62.69   20.99 20.597 0.009  0.644 0.013
 841  575.38  296.86 20.597 0.008  0.572 0.012
 842   77.16  120.51 20.598 0.008  0.564 0.012
 843  108.30  523.88 20.599 0.008  0.569 0.011
 844   15.54  599.09 20.600 0.013  0.565 0.016
 845  645.97  614.51 20.606 0.008  0.554 0.012
 846  878.04  483.79 20.609 0.007  0.576 0.011
 847  232.44  401.88 20.613 0.008  0.575 0.011
 848  196.49 1866.18 20.614 0.009  0.624 0.012
 849  200.10 1117.83 20.615 0.008  0.574 0.011
 850  791.38  716.64 20.616 0.009  0.538 0.012
 851  444.95  849.39 20.617 0.008  0.592 0.011
 852 1116.42  303.08 20.619 0.008  0.580 0.012
 853   53.27 1593.52 20.620 0.008  0.650 0.012
 854  138.95 1145.71 20.621 0.008  0.600 0.012
 855  454.45  699.16 20.622 0.009  0.560 0.012
 856  398.77  926.36 20.624 0.008  0.522 0.011
 857  717.71 1939.73 20.626 0.008  0.589 0.012
 858 1056.93  782.69 20.626 0.009  0.595 0.013
 859  295.51  937.55 20.626 0.009  0.571 0.012
 860   19.49 1934.80 20.630 0.017  0.602 0.021
 861  115.21  618.96 20.634 0.009  0.586 0.012
 862 1221.93   67.25 20.636 0.008  0.590 0.011
 863 1395.29 1034.17 20.636 0.009  1.625 0.020
 864  421.65   10.31 20.641 0.012  0.617 0.016
 865   40.26  452.39 20.641 0.009  0.600 0.012
 866  755.83  287.94 20.648 0.008  0.585 0.012
 867  687.51  811.60 20.648 0.009  0.541 0.013
 868  869.71  436.99 20.648 0.009  0.601 0.012
 869 1096.36 1730.32 20.649 0.009  0.703 0.013
 870 1107.06  412.62 20.650 0.009  0.572 0.012
 871   27.32  740.47 20.652 0.010  0.571 0.013
 872 1272.95 1253.87 20.652 0.008  0.568 0.012
 873  302.83 1856.06 20.653 0.008  0.632 0.012
 874   75.89  278.31 20.653 0.009  0.620 0.013
 875  177.04  894.98 20.656 0.008  0.728 0.013
 876  617.21  399.14 20.657 0.008  0.576 0.012
 877  565.72  349.42 20.658 0.008  0.584 0.012
 878  609.30  975.31 20.660 0.009  1.333 0.016
 879 1842.61    4.18 20.661 0.009  0.582 0.013
 880   82.52  795.70 20.661 0.009  0.615 0.012
 881  750.70  721.51 20.663 0.010  0.632 0.013
 882  240.55  961.71 20.663 0.008  0.586 0.012
 883 1094.12  177.98 20.664 0.008  0.646 0.012
 884  911.16  724.25 20.664 0.008  0.575 0.012
 885  666.42  371.53 20.665 0.008  0.565 0.012
 886  426.25 1994.77 20.665 0.008  0.630 0.012
 887  708.23 1385.45 20.666 0.009  0.583 0.012
 888  209.00 1116.53 20.668 0.008  0.569 0.012
 889   17.50 1873.64 20.670 0.015  0.589 0.020
 890  268.64  582.50 20.673 0.009  0.571 0.012
 891    4.04  333.66 20.674 0.012  0.549 0.016
 892 1314.22  998.28 20.675 0.008  0.548 0.013
 893  968.97 1055.13 20.676 0.009  0.546 0.012
 894   83.35 1088.27 20.677 0.008  0.592 0.012
 895  269.52  146.24 20.677 0.008  0.580 0.012
 896   82.65  283.91 20.677 0.009  0.568 0.015
 897  288.06  179.38 20.678 0.009  0.559 0.015
 898   23.00   91.75 20.679 0.010  0.589 0.015
 899 1214.66 1168.12 20.682 0.009  0.566 0.013
 900  792.55  111.49 20.684 0.008  0.594 0.012
 901 1078.83  907.91 20.686 0.008  0.550 0.012
 902  219.35  689.99 20.687 0.008  0.593 0.012
 903  196.91  761.14 20.687 0.008  0.584 0.013
 904  285.62  362.74 20.689 0.008  0.604 0.012
 905  332.10  935.94 20.690 0.008  0.580 0.012
 906 1672.02 1180.57 20.690 0.009  0.600 0.012
 907 1010.40  818.88 20.691 0.009  0.578 0.012
 908  343.82  446.93 20.693 0.008  0.591 0.012
 909  395.18  176.24 20.693 0.009  0.614 0.013
 910  161.57  565.23 20.694 0.008  0.577 0.012
 911  106.77  380.78 20.697 0.011  0.608 0.015
 912  740.48  122.13 20.697 0.009  0.707 0.012
 913 1101.06  540.63 20.699 0.009  0.600 0.012
 914   46.75  608.18 20.701 0.009  0.589 0.012
 915  161.32  155.52 20.701 0.009  0.582 0.012
 916  317.87  541.19 20.701 0.009  0.590 0.012
 917  303.87  208.05 20.702 0.008  0.592 0.012
 918  481.09 1595.89 20.703 0.008  0.583 0.011
 919   37.76  376.72 20.704 0.009  0.558 0.012
 920  903.78 1554.10 20.704 0.008  0.567 0.011
 921  571.47  604.31 20.704 0.009  0.602 0.012
 922 1871.14  694.41 20.705 0.008  0.611 0.011
 923 1001.98 1978.71 20.709 0.008  0.599 0.012
 924  620.45  576.76 20.712 0.008  0.663 0.012
 925 1025.01  177.96 20.716 0.008  0.616 0.013
 926  886.46 1303.03 20.721 0.009  0.583 0.012
 927  985.32  200.07 20.721 0.009  0.567 0.013
 928   71.45  906.82 20.723 0.009  0.626 0.013
 929  109.31 1390.42 20.725 0.010  1.354 0.017
 930  145.30 1115.94 20.726 0.009  0.568 0.012
 931   38.73  423.19 20.729 0.009  0.543 0.014
 932   47.86  398.62 20.729 0.009  0.612 0.013
 933  197.06  301.43 20.730 0.009  0.583 0.012
 934 1231.74  540.92 20.731 0.008  0.562 0.012
 935 1560.86 1332.53 20.735 0.009  0.614 0.012
 936  393.84  171.90 20.742 0.010  0.601 0.014
 937  934.20 1145.41 20.742 0.011  0.562 0.014
 938  390.87  439.56 20.742 0.009  0.608 0.013
 939   93.44  505.42 20.746 0.009  0.575 0.012
 940 1144.29  625.76 20.747 0.009  0.567 0.013
 941  776.76  431.02 20.748 0.008  0.591 0.012
 942  949.87  805.72 20.749 0.009  0.581 0.013
 943 1950.00  399.53 20.752 0.009  0.627 0.013
 944 1278.89 1806.45 20.752 0.009  0.617 0.013
 945  152.92  926.35 20.755 0.009  0.637 0.013
 946  101.71 1381.23 20.757 0.008  0.604 0.012
 947  417.84  633.78 20.759 0.009  0.581 0.013
 948 1358.56  296.53 20.761 0.008  0.586 0.012
 949  698.59 1496.21 20.762 0.009  0.618 0.012
 950 1157.56  495.49 20.763 0.009  0.565 0.014
 951  202.10  520.98 20.764 0.009  0.601 0.013
 952 1173.41 1681.85 20.765 0.009  0.595 0.013
 953  950.32  752.55 20.765 0.009  0.589 0.013
 954  171.42  739.48 20.768 0.009  0.573 0.013
 955  676.60  202.74 20.771 0.013  0.715 0.017
 956  823.68  499.71 20.771 0.009  0.616 0.013
 957   43.10  309.75 20.775 0.009  0.608 0.013
 958  485.80 1191.38 20.775 0.009  0.610 0.013
 959  882.86  893.53 20.779 0.010  0.620 0.014
 960 1661.08  121.42 20.781 0.009  0.693 0.013
 961  980.96  552.72 20.782 0.009  0.582 0.013
 962 1592.18  670.73 20.783 0.009  0.607 0.013
 963  530.56  379.30 20.783 0.009  0.608 0.013
 964  380.74  155.71 20.783 0.008  0.575 0.012
 965  768.09  881.86 20.786 0.009  0.591 0.014
 966  177.41  316.30 20.787 0.009  0.636 0.013
 967   42.63  182.47 20.789 0.010  0.614 0.014
 968  279.32  224.06 20.790 0.009  0.645 0.013
 969  555.66  578.23 20.799 0.009  0.611 0.014
 970  430.24  669.33 20.800 0.009  0.567 0.013
 971 1608.40 1796.95 20.803 0.008  0.641 0.013
 972   97.87 1246.94 20.806 0.009  0.621 0.013
 973  312.68  985.96 20.806 0.009  0.637 0.014
 974  536.60  454.60 20.807 0.009  0.555 0.013
 975  577.62  113.06 20.807 0.009  0.592 0.013
 976  570.58  529.76 20.809 0.009  0.597 0.013
 977 1106.57 1060.46 20.812 0.009  0.723 0.014
 978  226.38  835.73 20.813 0.009  0.637 0.013
 979  465.70  197.08 20.814 0.010  0.633 0.014
 980  285.63  657.77 20.814 0.010  0.575 0.014
 981 1354.03  250.67 20.814 0.010  1.311 0.018
 982  411.30  463.75 20.819 0.010  0.646 0.015
 983  491.12  196.05 20.821 0.010  0.632 0.015
 984  287.86  398.64 20.826 0.013  0.568 0.020
 985  290.17  206.25 20.827 0.009  0.647 0.013
 986   83.57 1396.28 20.827 0.009  0.627 0.013
 987  266.25  227.92 20.828 0.013  0.678 0.017
 988  106.34   59.47 20.828 0.010  0.624 0.013
 989  846.04  347.15 20.829 0.009  0.603 0.013
 990  115.64  673.78 20.829 0.009  0.606 0.013
 991   49.95 1364.40 20.832 0.009  0.722 0.015
 992  584.60  278.10 20.832 0.009  0.603 0.013
 993    7.77  226.60 20.833 0.013  0.574 0.018
 994    7.84  431.57 20.833 0.013  0.603 0.018
 995  699.08  427.33 20.834 0.009  0.601 0.014
 996  957.59 1097.63 20.840 0.009  0.573 0.013
 997  928.90  801.40 20.840 0.015  1.105 0.021
 998 1121.76  197.31 20.844 0.009  0.594 0.013
 999   21.37   80.83 20.848 0.013  0.562 0.018
1000 1315.53  497.21 20.848 0.009  0.591 0.013
1001  691.00  453.65 20.852 0.010  0.582 0.014
1002  129.48  641.57 20.859 0.017  1.589 0.028
1003 1619.30   18.35 20.860 0.010  0.640 0.014
1004  268.36  661.00 20.861 0.009  0.571 0.013
1005 1105.61 1395.41 20.865 0.009  0.591 0.014
1006  438.77  162.17 20.866 0.010  0.621 0.014
1007  404.15   80.97 20.867 0.009  0.629 0.013
1008  460.52  417.39 20.871 0.010  0.673 0.014
1009  530.80 1514.74 20.872 0.009  0.620 0.014
1010 1036.13  621.30 20.872 0.010  0.609 0.015
