# ID  jfk    jdf     V      uncV   B_V   B_VUn
 115   45.80  671.30 18.710 0.005  0.444 0.007
 116  242.54  926.59 18.711 0.005  0.440 0.007
 117  202.58   17.10 18.714 0.005  0.458 0.008
 118  110.01 1142.44 18.715 0.005  0.438 0.007
 119  354.58   88.83 18.721 0.005  0.478 0.007
 120  493.87 1083.29 18.725 0.005  0.443 0.007
 121  125.87  193.61 18.733 0.005  0.473 0.007
 122 1779.68 1623.57 18.751 0.005  0.471 0.007
 123 1089.85  581.34 18.752 0.005  0.442 0.007
 124  170.77  760.25 18.756 0.005  0.454 0.006
 125 1436.22 1884.13 18.765 0.005  0.456 0.007
 126   41.76  274.55 18.768 0.005  0.453 0.007
 127   95.19  282.84 18.769 0.005  0.451 0.007
 128  522.47 1875.03 18.785 0.005  0.463 0.007
 129 1010.61  100.46 18.791 0.005  0.446 0.007
 130    6.82 1553.94 18.796 0.007  0.982 0.010
 131  682.13 1210.00 18.806 0.005  0.458 0.007
 132   79.88  808.92 18.822 0.005  0.443 0.007
 133 1229.59  344.00 18.823 0.005  0.464 0.006
 134  263.09  241.83 18.829 0.005  0.434 0.007
 135  357.54  308.71 18.834 0.005  0.452 0.007
 136  255.45  117.82 18.836 0.005  0.475 0.007
 137  630.17  695.12 18.841 0.005  0.441 0.007
 138   50.90  482.36 18.843 0.005  0.438 0.007
 139 1436.55  302.93 18.846 0.005  0.445 0.007
 140  377.12  907.49 18.852 0.005  0.442 0.007
 141 1309.93  552.62 18.862 0.005  0.446 0.007
 142  563.43 1091.63 18.872 0.005  0.450 0.007
 143  329.67 1107.82 18.881 0.005  0.437 0.007
 144  432.19  208.90 18.887 0.005  0.456 0.007
 145   56.63  393.04 18.891 0.005  0.437 0.007
 146  175.18  246.13 18.902 0.005  0.437 0.007
 147  332.06  148.54 18.902 0.005  0.430 0.007
 148  879.39  174.82 18.902 0.005  0.440 0.007
 149  326.62 1570.73 18.905 0.005  0.445 0.007
 150  127.45  477.46 18.905 0.005  0.438 0.007
 151  115.77   96.36 18.907 0.006  0.455 0.009
 152 1758.29 1013.79 18.910 0.005  0.409 0.007
 153 1152.00  442.72 18.919 0.005  0.461 0.007
 154  671.81  794.77 18.925 0.005  0.430 0.007
 155  589.32  175.03 18.926 0.005  0.441 0.007
 156  591.47  282.29 18.929 0.005  0.455 0.007
 157  337.07  137.03 18.934 0.005  0.450 0.007
 158  155.77 1370.81 18.939 0.005  0.459 0.007
 159  970.74  760.09 18.941 0.005  0.420 0.007
 160  187.87 1981.21 18.942 0.006  0.469 0.008
 161  776.95 1034.87 18.950 0.005  0.409 0.007
 162  589.00  211.40 18.952 0.005  0.449 0.007
 163  400.39 1755.93 18.965 0.005  0.453 0.007
 164   27.46  766.86 18.974 0.005  0.420 0.007
 165  539.81  591.95 18.976 0.005  0.437 0.007
 166 1382.04  346.87 18.983 0.005  0.475 0.007
 167  304.16  243.63 18.985 0.005  0.445 0.007
 168 1970.01 1108.46 18.990 0.005  0.449 0.007
 169  538.07  299.54 18.991 0.005  0.458 0.007
 170 1915.31 1379.11 18.993 0.005  0.438 0.007
 171 1086.25 1246.40 18.995 0.005  1.544 0.008
 172  143.49 1272.65 19.001 0.005  0.462 0.007
 173 1270.71 1478.82 19.005 0.005  0.429 0.007
 174   54.66   82.37 19.005 0.005  0.432 0.007
 175  894.03  265.28 19.009 0.005  0.445 0.007
 176  422.26  307.08 19.014 0.005  0.437 0.007
 177 1589.55   59.29 19.015 0.005  0.440 0.007
 178 1200.61  553.93 19.017 0.005  0.437 0.007
 179  122.65 1480.14 19.023 0.005  0.447 0.007
 180 1859.05  632.39 19.023 0.005  0.441 0.007
 181  676.31  536.04 19.028 0.005  0.445 0.007
 182 1066.93 1817.14 19.030 0.005  0.442 0.007
 183  556.45  434.42 19.033 0.005  0.420 0.007
 184 1333.84  982.89 19.036 0.005  0.424 0.007
 185 1285.80 1186.82 19.038 0.005  0.429 0.007
 186  557.68  365.86 19.040 0.005  0.440 0.007
 187   74.71  748.34 19.045 0.005  0.433 0.007
 188  967.63 1007.45 19.047 0.005  0.434 0.007
 189 1462.02   46.59 19.065 0.005  0.437 0.007
 190  701.12 1951.34 19.082 0.005  0.414 0.007
 191 1006.34  262.59 19.086 0.005  0.443 0.007
 192  500.11 1001.67 19.087 0.005  0.429 0.007
 193 1501.14 1088.48 19.099 0.006  0.397 0.008
 194 1118.64  636.83 19.103 0.005  0.421 0.007
 195  577.17 1152.19 19.108 0.005  0.445 0.007
 196  777.24  920.73 19.119 0.005  0.441 0.007
 197  161.99  321.16 19.121 0.005  0.450 0.007
 198  462.46  824.91 19.125 0.005  0.437 0.007
 199 1722.51 1623.18 19.131 0.005  0.659 0.007
 200  895.93  619.49 19.131 0.005  0.433 0.007
 201   66.59  319.22 19.132 0.005  0.454 0.007
 202   11.00  201.15 19.132 0.009  0.458 0.012
 203 1699.83  442.79 19.134 0.005  0.516 0.007
 204  757.34   46.52 19.136 0.005  0.441 0.007
 205  541.79  476.02 19.141 0.005  0.427 0.007
 206  160.35  715.15 19.143 0.005  0.438 0.007
 207  666.92  293.64 19.158 0.005  0.434 0.007
 208  897.89  414.35 19.160 0.005  0.433 0.007
 209 1245.49  560.79 19.160 0.005  0.441 0.007
 210   64.49 1346.84 19.160 0.005  0.455 0.007
 211  112.15  264.37 19.168 0.005  0.504 0.007
 212  978.68  728.02 19.168 0.005  0.417 0.007
 213  877.90  139.22 19.169 0.005  0.432 0.007
 214 1657.90 1057.32 19.171 0.005  1.684 0.008
 215  949.77  572.26 19.184 0.005  0.430 0.007
 216  862.03  367.75 19.189 0.005  0.436 0.007
 217   39.90   97.02 19.189 0.005  0.436 0.007
 218  344.62  221.04 19.190 0.005  0.442 0.007
 219 1620.67 1953.10 19.191 0.005  0.450 0.007
 220  344.25  883.58 19.197 0.005  0.441 0.007
 221    4.55  882.78 19.199 0.007  0.438 0.010
 222  743.95  237.48 19.202 0.005  0.447 0.007
 223 1000.07  539.69 19.206 0.005  0.444 0.007
 224 1535.99  161.03 19.207 0.005  0.452 0.007
 225  238.75 1006.24 19.210 0.005  0.437 0.007
 226  402.32  951.66 19.211 0.005  0.436 0.007
 227 1000.60  584.68 19.224 0.005  0.465 0.007
 228  943.24 1037.50 19.227 0.005  0.425 0.007
 229  327.27 1312.44 19.230 0.005  0.438 0.007
 230  212.12  639.37 19.235 0.005  0.449 0.007
 231 1033.02 1823.54 19.236 0.005  0.452 0.007
 232   16.97  991.07 19.237 0.007  0.419 0.010
 233  246.35   57.55 19.240 0.005  0.450 0.007
 234 1228.47  859.20 19.240 0.005  0.443 0.007
 235   26.75  332.34 19.240 0.005  0.443 0.008
 236 1032.91  100.53 19.241 0.005  0.411 0.007
 237   77.60  284.86 19.243 0.005  0.442 0.008
 238  586.97 1959.75 19.249 0.005  0.453 0.007
 239  438.05  742.81 19.252 0.005  0.449 0.007
 240  291.73  403.68 19.252 0.006  0.436 0.008
 241  201.21 1476.17 19.257 0.005  0.452 0.007
 242  870.89 1509.56 19.259 0.005  0.428 0.007
 243  280.45  703.86 19.259 0.005  0.440 0.007
 244   39.24  585.51 19.264 0.005  0.430 0.007
 245  431.48  399.17 19.269 0.005  0.450 0.007
 246   12.23 1475.36 19.273 0.007  0.453 0.010
 247  773.64 1908.95 19.275 0.005  0.397 0.007
 248  165.83  129.99 19.276 0.006  0.444 0.009
 249  158.16 1327.83 19.278 0.005  0.444 0.007
 250 1292.12  260.75 19.284 0.005  0.435 0.007
 251  624.25 1612.31 19.285 0.005  0.438 0.007
 252  137.39 1660.59 19.287 0.005  0.467 0.007
 253  560.02 1242.04 19.291 0.005  0.441 0.007
 254  119.27 1073.26 19.295 0.005  0.475 0.007
 255  873.52  291.10 19.297 0.005  0.435 0.007
 256  127.24  410.56 19.306 0.005  0.453 0.007
 257 1253.66   11.60 19.309 0.005  0.437 0.008
 258  768.32  780.96 19.309 0.005  0.423 0.007
 259  449.48  668.14 19.314 0.005  0.452 0.007
 260  244.82  761.22 19.316 0.005  0.444 0.007
 261   96.46  609.21 19.316 0.005  0.446 0.007
 262  382.65  186.73 19.317 0.005  0.442 0.007
 263    5.06  273.65 19.318 0.007  0.461 0.011
 264  614.77  870.12 19.318 0.005  0.430 0.007
 265  463.55  152.15 19.321 0.005  0.436 0.007
 266  370.79  787.17 19.326 0.005  1.081 0.008
 267 1840.48  566.80 19.327 0.005  0.459 0.007
 268 1017.18  733.19 19.329 0.006  0.434 0.007
 269  213.77 1141.23 19.331 0.005  0.459 0.007
 270  800.52  669.40 19.331 0.005  0.452 0.007
 271  118.28  563.67 19.332 0.005  0.444 0.007
 272  601.08  980.65 19.336 0.005  0.441 0.007
 273 1392.94   33.80 19.338 0.005  0.446 0.008
 274 1816.05  461.61 19.340 0.005  0.450 0.007
 275  619.50 1214.31 19.343 0.005  0.430 0.007
 276  170.71   80.43 19.348 0.005  0.452 0.007
 277 1172.78  376.60 19.353 0.005  0.451 0.007
 278  818.82  679.17 19.361 0.005  0.493 0.007
 279  717.49  845.28 19.362 0.005  0.444 0.007
 280  134.41  622.56 19.365 0.005  0.451 0.007
 281  615.21  438.51 19.366 0.009  0.446 0.012
 282  753.75 1545.95 19.369 0.005  0.435 0.007
 283  719.13 1730.49 19.370 0.005  0.458 0.007
 284  322.09  406.45 19.370 0.005  1.033 0.007
 285 1002.23  663.93 19.373 0.005  0.436 0.007
 286  889.00  141.19 19.381 0.005  0.507 0.007
 287 1754.44 1103.91 19.381 0.006  0.452 0.008
 288  327.80 1700.33 19.383 0.005  0.464 0.008
 289  313.72 1988.21 19.384 0.006  0.473 0.008
 290  356.26 1210.65 19.391 0.005  1.632 0.009
 291   89.45   29.07 19.396 0.006  0.464 0.009
 292  645.87  332.74 19.396 0.005  0.453 0.007
 293 1002.40  552.02 19.400 0.005  0.452 0.007
 294  329.41  428.16 19.402 0.005  0.447 0.007
 295  914.19   16.76 19.405 0.006  0.460 0.008
 296  100.52  817.08 19.405 0.005  0.449 0.007
 297  549.23  792.28 19.411 0.005  0.580 0.008
 298  605.07  900.39 19.413 0.005  0.433 0.007
 299  223.16 1104.98 19.415 0.005  0.446 0.007
 300  452.85  438.76 19.418 0.005  0.450 0.007
 301  430.04 1104.08 19.423 0.005  0.437 0.008
 302  588.74  856.22 19.425 0.005  0.445 0.007
 303  503.67   40.40 19.427 0.006  0.458 0.008
 304 1059.15  120.89 19.430 0.005  0.446 0.007
 305  176.01 1254.52 19.434 0.005  0.493 0.007
 306   71.80  361.26 19.440 0.006  0.454 0.008
 307  781.81  746.58 19.445 0.005  0.451 0.007
 308  368.79  241.17 19.447 0.005  0.456 0.007
 309 1014.99 1101.14 19.453 0.005  0.446 0.007
 310 1174.17  250.89 19.456 0.005  0.434 0.007
 311  561.02  497.37 19.457 0.005  0.454 0.007
 312   65.35   61.15 19.462 0.006  0.482 0.008
 313  493.45  437.50 19.470 0.005  0.450 0.007
 314   93.89  116.95 19.474 0.005  0.473 0.008
 315  288.85  173.25 19.482 0.005  0.427 0.008
 316  943.86  355.26 19.485 0.005  0.455 0.007
 317  731.51 1423.20 19.485 0.005  0.438 0.007
 318  688.36  467.44 19.489 0.006  0.444 0.008
 319 2017.68  181.63 19.491 0.006  0.462 0.008
 320   86.34  342.36 19.494 0.005  0.453 0.007
 321 1879.28  644.74 19.505 0.005  0.452 0.008
 322  993.70   82.81 19.507 0.006  0.434 0.009
 323  286.02  234.39 19.507 0.005  0.465 0.007
 324  619.87 2035.00 19.510 0.006  0.436 0.008
 325 1363.86  133.52 19.517 0.005  0.470 0.007
 326 1171.12  512.63 19.519 0.005  0.459 0.007
 327  854.04 1551.57 19.519 0.005  0.442 0.007
 328   44.53    5.83 19.520 0.007  0.467 0.010
 329 1474.80  200.33 19.520 0.005  0.471 0.007
 330  347.64   93.54 19.524 0.006  0.470 0.008
 331 1028.64   77.60 19.528 0.005  0.450 0.008
