# ID  X      Y        V        unc_V    B      unc_B  I        unc_I   X_     E
  71  615.30  459.63  13.844   0.001  14.725   0.001  12.731   0.001   0.991  -0.088
  72 1081.87  365.62  13.834   0.001  15.022   0.001  12.490   0.001   1.007  -0.089
  73  867.78 1931.00  13.855   0.002  14.861   0.002  12.635   0.002   1.028  -0.187
  74  947.18  744.85  13.880   0.001  14.920   0.001  12.648   0.001   1.037   0.022
  75 1461.88 1359.58  13.892   0.001  14.970   0.001  12.606   0.001   1.014   0.045
  76 1132.97  921.85  13.901   0.005  14.907   0.005  12.673   0.000   0.970  -0.089
  77  821.91  454.00  13.893   0.001  15.058   0.001  12.541   0.001   0.976  -0.063
  78 1189.00  495.35  13.887   0.001  15.025   0.001  12.583   0.001   0.993  -0.074
  79  178.63 1048.86  13.882   0.001  15.572   0.001  12.053   0.001   1.064  -0.082
  80  931.79  717.94  13.932   0.001  14.982   0.001  12.674   0.001   0.964  -0.063
  81 1046.96 1286.93  13.962   0.001  15.095   0.001  12.653   0.001   0.986  -0.088
  82 1170.03  974.55  14.022   0.005  15.163   0.005  12.708   0.003   0.949  -0.042
  83 1275.95  815.66  14.035   0.001  15.129   0.001  12.764   0.001   0.941   0.030
  84  758.94 1031.26  14.058   0.003  15.171   0.001  12.768   0.001   0.992  -0.059
  85 1724.23  929.35  14.064   0.003  15.177   0.006  12.780   0.008   1.080  -0.149
  86  764.23  763.92  14.100   0.001  15.271   0.001  12.754   0.001   0.971  -0.096
  87 1009.95  735.76  14.123   0.001  14.959   0.001  13.060   0.001   0.955  -0.079
  88 1702.50  616.44  14.137   0.001  15.219   0.001  12.881   0.001   0.961  -0.085
  89 1597.57 1343.02  14.153   0.001  15.335   0.001  12.776   0.001   0.985  -0.012
  90 1050.75  955.41  14.173   0.008  15.267   0.006  12.899   0.001   0.950  -0.051
  91  937.98 1486.06  14.211   0.001  15.280   0.001  12.952   0.001   0.941  -0.054
  92 1187.13 1183.60  14.230   0.001  15.332   0.001  12.933   0.001   0.938  -0.044
  93  786.21  351.44  14.259   0.001  15.383   0.001  12.944   0.001   0.967  -0.142
  94 1409.52 1585.74  14.257   0.001  15.375   0.001  12.964   0.001   0.961  -0.018
  95 2130.87  727.36  14.280   0.002  15.326   0.001  13.054   0.002   1.053  -0.120
  96  809.97  577.83  14.293   0.001  15.443   0.001  12.953   0.001   0.982  -0.154
  97   95.92 1859.45  14.299   0.001  14.904   0.001  13.507   0.002   1.188  -0.012
  98 1142.45  785.02  14.300   0.001  15.366   0.001  13.052   0.001   1.094   0.026
  99 1934.76  180.23  14.307   0.001  15.172   0.001  13.360   0.001   1.111  -0.122
 100 1718.89 1804.48  14.343   0.001  15.371   0.001  13.127   0.001   0.912  -0.030
 101 1428.10  682.23  14.348   0.001  15.448   0.001  13.069   0.001   0.979   0.084
 102  131.66 1123.42  14.359   0.001  15.435   0.001  13.112   0.001   0.968  -0.017
 103 1424.01 1153.88  14.343   0.001  15.224   0.001  13.361   0.001   0.934  -0.057
 104 1287.76  652.07  14.378   0.001  15.475   0.001  13.103   0.001   0.919  -0.005
 105  310.87   57.22  14.358   0.001  15.265   0.001  13.384   0.001   0.884  -0.085
 106  688.51  189.36  14.398   0.001  15.495   0.001  13.116   0.001   0.927  -0.139
 107 1021.19  369.30  14.401   0.001  15.537   0.001  13.082   0.001   0.954  -0.130
 108 1127.01  230.76  14.424   0.001  15.373   0.001  13.252   0.001   0.939  -0.124
 109  493.40  766.57  14.430   0.001  15.283   0.001  13.343   0.001   0.915  -0.059
 110 1354.78  829.84  14.432   0.001  15.283   0.001  13.344   0.001   0.923  -0.055
 111  833.16  673.02  14.429   0.001  15.459   0.001  13.173   0.001   0.945  -0.130
 112 1174.76 1093.66  14.434   0.001  15.542   0.001  13.138   0.001   0.931  -0.025
 113 1090.12  804.86  14.440   0.001  14.899   0.001  13.776   0.001   0.985   0.094
 114 1373.99  975.37  14.481   0.004  14.877   0.002  13.907   0.005   0.937   0.035
 115 1515.85 1179.77  14.460   0.001  14.756   0.001  14.044   0.001   0.955  -0.024
 116 1143.67  764.81  14.500   0.001  15.550   0.001  13.260   0.001   1.099   0.172
 117 1144.64  839.28  14.481   0.001  15.488   0.001  13.341   0.001   1.229   0.189
 118  982.97  737.88  14.497   0.001  15.545   0.001  13.269   0.001   0.940  -0.076
 119 1115.25  975.75  14.505   0.003  15.558   0.004  13.256   0.003   0.935  -0.084
 120 2081.28  632.67  14.468   0.002  15.057   0.001  13.822   0.002   0.984  -0.069
 121  850.93 1530.35  14.537   0.001  15.376   0.001  13.466   0.001   0.920  -0.005
 122  517.23  772.06  14.494   0.001  15.329   0.001  13.572   0.001   0.932  -0.094
 123 1460.10  698.91  14.549   0.001  15.374   0.001  13.491   0.001   0.922  -0.033
 124  547.16  807.12  14.535   0.001  15.553   0.001  13.331   0.001   0.917  -0.098
 125  838.83  423.55  14.545   0.001  15.649   0.001  13.240   0.001   0.929  -0.127
 126 1274.16  690.11  14.541   0.001  15.601   0.001  13.293   0.001   0.923  -0.081
 127 1625.64 1762.14  14.558   0.001  15.303   0.001  13.575   0.001   0.910  -0.013
 128 1391.09  474.21  14.542   0.001  15.628   0.001  13.270   0.001   0.924  -0.066
 129  210.27  833.04  14.525   0.001  15.291   0.001  13.643   0.001   0.985  -0.028
 130 1340.10  943.23  14.575   0.003  15.432   0.006  13.474   0.004   0.908  -0.079
 131 1265.29 1371.86  14.557   0.001  15.631   0.001  13.295   0.001   0.910   0.003
 132  357.68 1010.92  14.560   0.001  15.612   0.001  13.328   0.001   0.928  -0.084
 133  579.01 1709.56  14.595   0.001  15.126   0.001  13.816   0.001   0.907  -0.016
 134 1510.71 1675.71  14.583   0.001  15.658   0.001  13.322   0.001   0.936   0.009
 135 1059.03  636.15  14.610   0.001  15.078   0.001  13.880   0.001   0.955   0.069
 136 1011.94  824.73  14.591   0.001  15.644   0.001  13.355   0.001   0.974   0.055
 137  926.76  900.27  14.592   0.007  15.648   0.005  13.362   0.002   0.916  -0.097
 138   64.06  596.05  14.613   0.001  15.086   0.001  13.900   0.002   1.032  -0.071
