# ID  X      Y        V        unc_V    B      unc_B  I        unc_I   X_     E
2793 1272.69  883.54  18.010   0.024  18.624   0.018  17.133   0.029   1.117   1.038
2794 1110.38   23.07  17.997   0.007  18.731   0.004  17.011   0.008   0.824  -0.119
2795 1551.46  709.73  17.992   0.008  18.662   0.005  17.090   0.009   0.838   0.037
2796  969.27  765.69  18.042   0.009  18.626   0.005  17.080   0.010   0.859  -0.303
2797  697.49  688.42  17.995   0.007  18.692   0.005  17.057   0.008   0.826  -0.433
2798 1297.77  797.40  17.987   0.008  18.651   0.005  17.111   0.009   0.843  -0.392
2799 1166.36 1122.80  17.996   0.008  18.673   0.005  17.079   0.009   0.898   0.585
2800    0.44 1380.40  17.977   0.011  18.652   0.007  17.130   0.016   0.832   0.157
2801 2180.59  118.90  18.004   0.014  18.651   0.008  17.103   0.017   0.860  -0.368
2802 1084.47  383.76  18.009   0.007  18.681   0.005  17.059   0.008   0.838   0.038
2803 1368.36 1275.07  18.006   0.007  18.710   0.005  17.032   0.008   0.830  -0.085
2804  725.98  -14.90  17.956   0.011  18.795   0.008  16.991   0.013   0.822  -0.161
2805 1408.42  670.59  17.969   0.009  18.665   0.007  17.125   0.011   1.006   1.635
2806 1734.05  912.45  18.007   0.010  18.638   0.002  17.113   0.005   0.829  -0.341
2807  448.39 1430.10  17.971   0.007  18.776   0.005  17.007   0.008   0.823   0.109
2808 1570.70   62.04  18.007   0.007  18.693   0.005  17.057   0.008   0.822  -0.342
2809 2099.83 1266.35  17.969   0.013  18.711   0.008  17.078   0.016   0.852   0.034
2810 1474.60 1191.63  18.000   0.007  18.717   0.005  17.040   0.009   0.820  -0.062
2811 1221.83  295.54  17.997   0.007  18.709   0.005  17.052   0.008   0.838  -0.382
2812   36.27 1689.62  17.978   0.009  18.700   0.006  17.082   0.012   0.826  -0.079
2813  190.74   18.21  17.996   0.007  18.755   0.005  17.006   0.008   0.823  -0.070
2814  946.35  362.66  17.967   0.007  18.735   0.005  17.057   0.008   0.840  -0.030
2815 1457.60  945.01  18.002   0.014  18.655   0.006  17.103   0.002   0.844  -0.075
2816 1219.45  636.08  18.010   0.007  18.652   0.005  17.102   0.009   0.851   0.136
2817  781.60  566.28  18.090   0.008  18.649   0.005  17.026   0.008   0.836  -0.069
2818 2179.05 1773.72  17.958   0.013  18.806   0.009  16.986   0.016   0.855  -0.300
2819 1051.51  917.89  18.029   0.011  18.609   0.019  17.134   0.026   0.899   0.150
2820  172.26 1208.83  18.005   0.008  18.638   0.005  17.126   0.010   0.823   0.018
2821  887.72 1009.12  18.014   0.004  18.667   0.014  17.077   0.004   0.851  -0.085
2822 1215.69  683.49  18.002   0.009  18.646   0.006  17.122   0.011   0.932   0.666
2823 1365.32  550.41  18.003   0.007  18.644   0.004  17.122   0.009   0.832  -0.467
2824 1285.77  715.65  18.033   0.009  18.707   0.006  17.024   0.011   0.939  -0.013
2825 1094.41  771.95  18.003   0.008  18.611   0.005  17.160   0.010   0.890  -0.260
2826 1556.78  428.63  18.010   0.007  18.678   0.005  17.081   0.009   0.835  -0.178
2827  870.33   21.99  17.990   0.007  18.730   0.005  17.047   0.008   0.829   0.196
2828 1255.92 1095.17  18.000   0.007  18.749   0.005  17.019   0.008   0.848   0.192
2829 1500.69  922.14  18.010   0.010  18.646   0.003  17.118   0.008   0.843  -0.191
2830  667.23 1002.82  17.993   0.003  18.651   0.001  17.133   0.010   0.836  -0.219
2831 1483.77 1283.66  18.006   0.007  18.715   0.005  17.050   0.009   0.836  -0.079
2832 1172.94  984.31  18.010   0.011                  17.050   0.014   0.858   0.241
2833  920.32  976.96  17.962   0.073  18.718   0.007                   0.979   1.298
2834 1800.46 1234.21  17.982   0.007  18.822   0.005  16.965   0.009   0.833  -0.234
2835 1113.41 1535.15  18.012   0.007  18.644   0.004  17.123   0.009   0.836   0.328
2836 1234.62  780.10  18.012   0.007  18.633   0.005  17.135   0.009   0.860  -0.651
2837  741.43  575.39  18.007   0.007  18.714   0.005  17.056   0.008   0.822  -0.177
2838 1449.34  939.27  18.018   0.010  18.680   0.003  17.081   0.003   0.837  -0.254
2839 1302.83  682.77  17.961   0.007  18.608   0.005  17.219   0.010   0.895   0.038
2840 1261.35  680.59  17.994   0.008  18.704   0.006  17.085   0.010   0.936   0.898
2841  944.65 1418.58  18.013   0.007  18.638   0.004  17.136   0.009   0.831  -0.141
2842 1055.19 1165.70  17.993   0.007  18.666   0.005  17.127   0.009   0.841  -0.245
2843 1175.69  378.63  18.007   0.007  18.699   0.004  17.078   0.008   0.830  -0.169
2844 1201.71  801.05  18.040   0.009                  17.028   0.010   0.992   1.613
2845 1054.26 1321.42  18.015   0.007  18.580   0.004  17.198   0.009   0.826   0.032
2846 1689.93  404.71  17.998   0.007  18.669   0.005  17.122   0.009   0.848   0.070
2847  254.34 1718.26  18.006   0.007  18.648   0.004  17.138   0.009   0.820  -0.162
2848  971.20 1022.89  17.926   0.110  18.737   0.015  17.012   0.063   1.210   1.877
2849 1972.50 1152.40  17.998   0.009  18.704   0.005  17.088   0.010   0.874  -0.166
2850 1506.30 1094.75  18.018   0.007  18.701   0.005  17.073   0.009   0.855   0.245
2851 1589.08  798.40  17.992   0.008  18.678   0.005  17.124   0.009   0.837   0.212
2852  605.26  833.61  18.017   0.007  18.642   0.004  17.138   0.009   0.831  -0.142
2853 1541.50 1277.23  18.015   0.007  18.793   0.005  16.982   0.008   0.834  -0.084
2854  400.71 1285.13  18.006   0.007  18.642   0.004  17.155   0.009   0.827   0.100
2855 2096.81  161.19  18.006   0.014  18.665   0.008  17.139   0.017   0.857  -0.266
2856 1876.43 1541.36  18.001   0.008  18.728   0.005  17.069   0.010   0.847  -0.056
2857 1782.74 1064.59  18.009   0.008  18.712   0.005  17.078   0.010   0.838  -0.147
2858 1769.10  665.55  18.023   0.008  18.667   0.005  17.115   0.010   0.841  -0.400
2859  820.35  459.66  18.063   0.011  18.730   0.008  17.007   0.012   0.919  -1.031
2860 1053.65 1118.02  18.019   0.007  18.672   0.005  17.115   0.009   0.835   0.181
2861 1046.89 1076.13                  18.766   0.005  17.023   0.008   0.849   0.173
2862 1185.76  628.82  18.047   0.010  18.696   0.007  17.063   0.012   0.916   0.704
2863 1121.58  848.88  17.993   0.008  18.646   0.005  17.173   0.010   0.915   0.632
2864  388.94 1291.65  18.002   0.007  18.615   0.004  17.197   0.009   0.843  -0.094
2865  -29.60  395.68  18.016   0.014  18.739   0.009  17.049   0.017   0.822  -0.143
2866 1623.50  545.77  18.028   0.008  18.679   0.005  17.103   0.009   0.828  -0.155
2867  775.18  417.02  18.018   0.007  18.687   0.005  17.108   0.009   0.873   0.440
2868 1309.08 1327.44  18.020   0.008  18.712   0.005  17.080   0.009   0.875   0.595
2869  999.35  996.49  18.008   0.001  18.666   0.000  17.140   0.006   0.883   0.674
2870 1495.93  944.44  17.972   0.013                  17.110   0.005   0.912   1.122
2871  860.93 1033.76  18.006   0.007  18.691   0.004  17.118   0.009   0.832   0.020
2872 1326.24  730.69  18.012   0.008  18.760   0.005  17.041   0.009   0.912   0.952
2873  918.02  758.61  18.021   0.008  18.705   0.005  17.090   0.009   0.884   0.138
2874 1927.12  439.50  18.040   0.008  18.636   0.005  17.145   0.010   0.839  -0.204
2875 1253.26  284.32  18.007   0.007  18.739   0.005  17.069   0.008   0.833  -0.108
2876 1054.71 1462.31  18.010   0.007  18.682   0.005  17.127   0.009   0.861   0.424
2877 1216.29  624.07  18.019   0.007  18.660   0.005  17.141   0.009   0.850  -0.238
2878 1942.36  456.36  18.033   0.008  18.624   0.005  17.167   0.010   0.848  -0.309
2879   50.15  556.12  18.022   0.009  18.697   0.006  17.101   0.011   0.842  -0.041
2880  479.63  898.98  18.012   0.008  18.648   0.006  17.165   0.011   0.829  -0.118
2881 1224.33 1041.71  18.031   0.008  18.765   0.005  17.020   0.009   0.859   0.188
2882 1277.06  996.06  18.003   0.013  18.714   0.029  17.106   0.025   0.906   0.273
2883 1046.98  638.70  17.987   0.007  18.660   0.005  17.177   0.009   0.872   0.022
2884 1604.93 1192.67  18.023   0.007  18.782   0.005  17.013   0.009   0.841  -0.131
2885  886.73  728.44  17.994   0.007  18.773   0.005  17.053   0.009   0.842   0.012
2886  856.00 1403.79  18.022   0.007  18.665   0.004  17.140   0.009   0.822  -0.141
2887 1476.61  695.73  18.031   0.007  18.651   0.005  17.145   0.009   0.849   0.303
2888  805.59  443.56  18.022   0.007  18.696   0.005  17.107   0.008   0.845   0.256
2889 1481.11  545.36  18.005   0.008  18.703   0.005  17.119   0.009   0.832   0.088
2890 1779.30  293.69  18.036   0.008  18.698   0.005  17.093   0.009   0.832  -0.221
2891 1555.08 1141.86  18.009   0.007  18.769   0.005  17.046   0.009   0.824  -0.238
2892 1034.01  499.97  17.982   0.008                  17.116   0.010   0.867   0.256
2893 1125.37  527.95  18.040   0.007  18.672   0.005  17.118   0.009   0.846   0.099
2894 1243.57 1811.61  18.002   0.007  18.749   0.005  17.076   0.009   0.825  -0.230
2895  805.55 1835.11  18.006   0.007  18.665   0.004  17.162   0.009   0.827   0.117
2896 1035.89  677.28  17.958   0.008  18.724   0.005  17.151   0.011   0.942   0.482
2897 1038.95  659.98  18.020   0.009  18.700   0.006  17.111   0.010   0.894   0.557
2898 1751.94  402.78  18.017   0.008  18.686   0.005  17.129   0.009   0.839  -0.219
2899 1256.45 1271.28  18.025   0.007  18.728   0.005  17.079   0.009   0.889   0.755
2900 1487.11  917.61  18.023   0.012  18.694   0.006  17.117   0.005   0.876   0.484
2901 1182.89  709.75  18.022   0.009                  17.081   0.009   0.905   0.747
2902 1617.42  819.77  18.025   0.008  18.667   0.005  17.147   0.009   0.852   0.151
2903  695.04  826.41  18.039   0.007  18.717   0.005  17.080   0.009   0.866   0.486
2904 1027.89 1317.41  18.026   0.007  18.721   0.005  17.090   0.009   0.824  -0.152
2905  479.73  897.63  18.023   0.007  18.645   0.004  17.175   0.009   0.829  -0.123
2906  512.33 1280.44  18.016   0.007  18.649   0.004  17.179   0.009   0.819  -0.174
2907 1803.57 1304.71  18.020   0.008  18.761   0.005  17.056   0.009   0.837  -0.009
2908 1356.48  850.15  18.025   0.007  18.673   0.005  17.144   0.009   0.853  -0.441
2909 1319.87 1679.62  18.023   0.007  18.669   0.004  17.151   0.009   0.825  -0.108
2910 1193.15  393.18  18.026   0.007  18.735   0.005  17.079   0.008   0.828  -0.188
2911  865.03  871.74  17.827   0.007  18.798   0.005  17.220   0.010   0.881   0.556
2912 1262.47 1121.16  18.023   0.007  18.737   0.005  17.081   0.009   0.851  -0.172
2913  712.71 1288.86  18.017   0.007  18.602   0.004  17.234   0.010   0.849  -0.808
2914 1203.02  895.94  17.866   0.087  18.672   0.012  17.188   0.021   1.042   0.447
2915  975.86  534.13  18.058   0.009  18.843   0.006  16.937   0.010   0.998   1.577
2916 1123.51  679.63  18.006   0.008  18.713   0.005  17.128   0.009   0.859   0.021
2917 1166.07  464.73  18.022   0.007  18.686   0.005  17.142   0.009   0.832  -0.280
2918 1583.31 1150.49  18.017   0.008  18.809   0.005  17.018   0.009   0.854   0.178
2919  858.72  720.39  18.052   0.008  18.739   0.005  17.057   0.009   0.847  -0.419
2920  251.27  405.80  18.035   0.008  18.720   0.005  17.096   0.010   0.894   0.446
2921 2179.51  130.22  18.041   0.015  18.691   0.009  17.129   0.018   0.873  -0.430
2922 1836.64 1905.60  18.026   0.009  18.653   0.006  17.184   0.013   0.843  -0.117
2923 1172.43  824.85  17.936   0.008  18.655   0.006  17.279   0.012   0.945   0.863
2924 1241.39  882.27  18.054   0.015  18.652   0.011  17.162   0.018   1.038   1.030
2925 1109.58 1377.79  18.033   0.008                  17.083   0.010   0.961   1.435
2926 2018.91 1434.25  18.026   0.009  18.708   0.006  17.125   0.012   0.843  -0.097
2927 1102.39  864.48  18.039   0.009  18.681   0.006  17.140   0.011   0.994   1.564
2928  331.98  361.57  18.035   0.007  18.745   0.005  17.080   0.008   0.815   0.015
2929 1176.63  155.56  18.041   0.007  18.722   0.004  17.098   0.008   0.828  -0.179
2930 1199.01  751.92  18.206   0.009  18.691   0.005  16.966   0.009   0.878  -0.309
2931  671.19  631.83  18.032   0.007  18.717   0.005  17.113   0.008   0.827   0.094
2932 1841.63 1827.96  18.037   0.008  18.649   0.005  17.182   0.010   0.836   0.153
2933 1267.42  406.82  18.015   0.008  18.776   0.005  17.069   0.009   0.893   0.448
2934 1906.93  491.32  18.043   0.008  18.623   0.005  17.205   0.010   0.841  -0.356
2935  728.66 1174.84  18.034   0.007  18.696   0.004  17.137   0.009   0.820   0.002
2936 1870.04  419.89  18.036   0.008  18.660   0.005  17.175   0.010   0.845  -0.200
2937  974.21  942.45  18.013   0.015  18.766   0.040  17.099   0.015   0.892   0.077
2938 1221.12  848.81  18.054   0.008  18.613   0.005  17.209   0.010   0.878  -0.158
2939 1056.09  745.74  18.030   0.010  18.728   0.007  17.112   0.010   0.916  -0.521
2940 1204.89   35.13  18.034   0.007  18.713   0.005  17.126   0.009   0.839  -0.148
2941 1463.42  660.77  18.009   0.007  19.134   0.007  16.733   0.006   0.828  -0.595
2942 1378.41  752.68  18.020   0.007  18.691   0.005  17.164   0.009   0.847  -0.199
2943  687.69  631.73  18.028   0.007  18.711   0.005  17.135   0.009   0.830   0.051
2944   90.87  908.66  18.035   0.009  18.694   0.006  17.149   0.012   0.856   0.206
2945  902.48  790.49  18.073   0.009                  17.055   0.010   0.939   0.535
2946 1157.84  649.81  18.019   0.008  18.768   0.006  17.087   0.010   0.935   1.011
2947  112.95  941.82  18.044   0.009  18.704   0.006  17.130   0.011   0.838   0.276
2948 1295.04 1055.22  18.074   0.009                  17.057   0.010   0.880   0.518
2949  711.37 1324.78  18.040   0.007  18.655   0.004  17.190   0.009   0.829  -0.250
2950 1461.63 1350.24  18.053   0.009  18.762   0.006  17.063   0.010   0.919   0.692
2951 1324.94  614.89  17.998   0.007  18.642   0.005  17.249   0.010   0.836   0.335
2952  832.13  945.14  17.973   0.154  18.477   0.044  17.243   0.024   0.884   0.088
2953   90.75  910.73  18.038   0.010  18.674   0.007  17.176   0.013   0.839   0.149
2954 1056.84  952.53  18.013   0.053  18.642   0.111  17.113   0.017   0.934   0.652
2955 1068.16  928.57  18.137   0.108  18.684   0.021  17.189   0.040   0.897  -0.020
2956  943.91  555.21  18.039   0.007  18.766   0.005  17.077   0.008   0.827  -0.334
2957  856.29  405.98  18.056   0.008  18.733   0.005                   0.930   1.214
2958  717.43  569.07  18.015   0.007  18.740   0.005  17.131   0.009   0.866   0.254
2959 1466.25  272.50  18.059   0.007  18.775   0.005  17.050   0.008   0.823   0.021
2960  409.72 1212.93  18.040   0.007  18.663   0.004  17.188   0.009   0.815  -0.164
2961  777.49  544.53  17.991   0.008  18.793   0.005  17.101   0.009   0.911   0.878
2962  812.18  680.05  18.050   0.007  18.739   0.005  17.098   0.008   0.849   0.317
2963 1459.17 1205.10  17.937   0.007  18.803   0.005  17.147   0.009   0.858   0.435
2964 1177.95  901.08  18.229   0.069  18.736   0.107  17.064   0.006   1.229   1.913
2965 1552.68  692.81  18.052   0.008  18.707   0.005  17.131   0.009   0.833  -0.080
2966 1038.94  480.80  18.031   0.007  18.764   0.005  17.093   0.009   0.849  -0.330
2967 1448.80 1296.41  18.043   0.009  18.763   0.006  17.083   0.010   0.936   0.855
2968  948.24  890.81  18.046   0.012  18.689   0.005  17.161   0.011   0.977   1.372
2969 1453.76  434.47  18.045   0.007  18.732   0.005  17.117   0.009   0.835  -0.177
2970  736.01 1430.04  18.029   0.007  18.719   0.005  17.148   0.009   0.856   0.615
2971 1452.57 1155.91  18.013   0.007  18.781   0.005  17.100   0.009   0.850   0.264
2972   65.66 1746.02  18.028   0.009  18.843   0.007  17.019   0.011   0.818  -0.131
2973 1212.10 1462.71  18.057   0.007  18.713   0.004  17.128   0.009   0.820  -0.096
2974  161.57 1776.58  18.034   0.009  18.696   0.006  17.174   0.013   0.870   0.556
2975 1212.74 1143.73  18.003   0.007  18.851   0.005  17.039   0.008   0.830  -0.287
2976 1650.25  691.91  18.044   0.008  18.661   0.005  17.199   0.010   0.839  -0.312
2977 1515.25  748.50  18.053   0.009  18.724   0.006  17.122   0.010   0.872   0.204
2978 1126.11  499.69  18.044   0.007  18.718   0.005  17.138   0.009   0.858  -0.099
2979 1356.05  592.17  18.096   0.009  18.705   0.006                   0.951   1.293
2980  878.76   51.84  18.037   0.007  18.815   0.005  17.048   0.008   0.819  -0.101
2981  229.45 1299.01  18.042   0.007  18.691   0.004  17.175   0.009   0.818  -0.088
2982 1492.39    1.30  18.037   0.009  18.740   0.006  17.129   0.011   0.838   0.198
2983 1371.91  813.98  18.058   0.008  18.672   0.005  17.179   0.009   0.843  -0.150
2984 1209.58  204.28  18.034   0.008  18.712   0.005  17.164   0.010   0.931   1.123
2985 2220.52 1184.07  18.022   0.017  18.764   0.012  17.122   0.022   0.871  -0.462
2986 1536.99   58.69  18.045   0.008  18.786   0.005  17.074   0.009   0.849   0.231
2987  654.19  623.53  18.029   0.007  18.726   0.005  17.154   0.009   0.870   0.511
2988  938.74 1290.37  18.022   0.007  18.729   0.005  17.159   0.009   0.865   0.773
2989  555.26 1873.80  18.028   0.007  18.829   0.005  17.048   0.009   0.831  -0.139
2990 1389.96  568.78  18.047   0.008  18.690   0.005  17.176   0.009   0.867   0.518
2991  719.90 1041.53  18.053   0.007  18.722   0.005  17.137   0.009   0.827   0.143
2992 1527.03  707.66  18.050   0.008  18.719   0.005  17.145   0.009   0.842   0.127
2993 1056.91  802.82  18.059   0.008  18.661   0.005  17.201   0.010   0.888  -0.121
2994  668.49 1258.28  18.046   0.007  18.701   0.005  17.171   0.009   0.838  -0.081
2995  921.83  772.65  18.080   0.008  18.751   0.005  17.084   0.009   0.865   0.229
2996 1440.86 1668.77  18.106   0.008  18.765   0.005  17.045   0.009   0.819  -0.013
2997 2058.42  532.00  18.050   0.012  18.713   0.008  17.161   0.014   0.846  -0.116
2998  238.95 1612.57  18.050   0.007  18.695   0.005  17.179   0.010   0.852   0.368
2999  697.36  721.56  18.044   0.007  18.715   0.005  17.163   0.009   0.853   0.138
3000   15.83  933.26  18.047   0.010  18.714   0.007  17.164   0.013   0.837  -0.089
3001 1344.04 1322.85  18.046   0.007  18.757   0.005  17.117   0.009   0.828   0.014
3002 1866.48  577.97  18.071   0.008  18.656   0.005  17.200   0.010   0.841  -0.208
3003  840.20  235.46  18.047   0.007  18.762   0.005  17.117   0.008   0.822  -0.194
3004 1166.20  645.66  17.813   0.008  19.156   0.007  16.946   0.010   0.985   1.256
3005  692.85 1210.85  18.048   0.007  18.688   0.004  17.195   0.009   0.829   0.305
3006  982.27 1320.03  18.073   0.007  18.706   0.004  17.151   0.009   0.822  -0.253
3007 1386.03 1054.29  18.064   0.008  18.734   0.005  17.131   0.009   0.843   0.435
3008  547.52  890.12  18.054   0.007  18.682   0.004  17.198   0.009   0.828  -0.318
3009 1181.79  253.99  18.060   0.007  18.738   0.005  17.133   0.009   0.833  -0.377
3010  547.40  891.30  18.049   0.010  18.678   0.007  17.216   0.014   0.829  -0.154
3011 2054.27  395.17  18.023   0.012  19.036   0.010  16.866   0.011   0.844  -0.083
3012 1249.13  678.64  17.918   0.008  18.757   0.006  17.264   0.011   0.958   1.187
3013 1078.97 1428.59  18.067   0.008  18.721   0.005  17.146   0.009   0.850   0.212
3014 1148.60  554.23  18.025   0.009  18.825   0.006  17.079   0.010   0.932   0.859
3015 1009.10 1304.08  18.066   0.007  18.701   0.005  17.169   0.009   0.825  -0.442
3016 2063.55 1187.33  18.046   0.012  18.781   0.008  17.105   0.015   0.846  -0.146
3017  946.75  759.59  18.086   0.008  18.737   0.006                   0.894   0.039
3018 1168.52 1569.50  18.045   0.007  18.693   0.005  17.201   0.009   0.837   0.270
3019 1018.80  996.14  18.041   0.085  18.657   0.008  17.218   0.004   0.877   0.162
3020 1245.57 1213.26  18.046   0.007  18.768   0.005  17.123   0.009   0.837   0.174
3021  791.94  386.67  18.062   0.007  18.771   0.005  17.105   0.008   0.831  -0.033
3022 1054.83 1073.89  18.074   0.007  18.750   0.005  17.115   0.009   0.853   0.454
3023 1163.26  432.18  18.075   0.008  18.758   0.005  17.106   0.010   0.930   1.103
3024  304.02 1345.70  18.058   0.007  18.666   0.005  17.223   0.010   0.861   0.515
3025 1677.18  865.57  18.060   0.008  18.674   0.005  17.213   0.010   0.853   0.109
3026 1045.03 1001.07  18.054   0.011  18.702   0.016  17.189   0.018   0.861  -0.386
3027  993.22  845.49  18.075   0.008  18.661   0.005  17.214   0.011   0.895   0.251
3028 1319.82 1054.18  18.114   0.008  18.772   0.005  17.054   0.009   0.869   0.481
3029 1783.92  597.09  18.069   0.008  18.657   0.005  17.224   0.010   0.838  -0.149
3030 1069.16  416.64  18.012   0.008  18.670   0.005  17.269   0.010   0.883   0.408
3031 1844.93  405.63  18.063   0.008  18.675   0.005  17.213   0.011   0.858   0.064
3032 1439.96 1409.38  18.057   0.007  18.805   0.005  17.079   0.009   0.827  -0.241
3033 1115.08  164.02  18.056   0.007  18.752   0.005  17.136   0.009   0.877   0.645
3034  973.13  779.34  18.079   0.009  18.760   0.006  17.105   0.010   0.918   0.142
3035 1157.14  784.94  18.064   0.009  18.740   0.006  17.143   0.010   0.956   0.800
3036 1450.08  650.95  18.064   0.008  18.709   0.005  17.176   0.009   0.834   0.205
3037  403.85 1741.35  18.029   0.007  18.880   0.005  17.032   0.009   0.821  -0.078
3038 1127.15  893.98  18.050   0.009  18.707   0.012  17.183   0.002   0.942   0.676
3039 1571.68 1521.25  18.051   0.008  18.801   0.005  17.097   0.009   0.832  -0.027
3040  535.32 1653.63  18.057   0.007  18.697   0.004  17.202   0.009   0.818   0.014
3041 2028.99  677.45  18.069   0.011  18.672   0.007  17.225   0.014   0.855  -0.273
3042  783.69  717.90  18.023   0.008  18.776   0.005  17.155   0.010   0.923   1.086
3043 1291.88 1856.35  18.069   0.007  18.697   0.005  17.191   0.009   0.818  -0.075
3044 1983.90 1499.57  18.052   0.009  18.734   0.005  17.172   0.011   0.839  -0.110
3045 1818.74  806.52  18.075   0.008  18.686   0.005  17.200   0.010   0.844  -0.056
3046 1051.23  988.68  18.045   0.054  18.674   0.083  17.138   0.009   0.911   0.503
3047 1390.39 1151.15  18.028   0.008  18.739   0.005  17.195   0.010   0.889   0.576
3048  888.97   71.12  18.062   0.007  18.806   0.005  17.090   0.008   0.840   0.249
3049 1058.02  942.14  18.052   0.014  18.684   0.024  17.211   0.017   0.990   1.606
3050 1501.57  844.86  18.098   0.008  18.731   0.005  17.138   0.010   0.855   0.077
3051 1613.22  675.54  18.060   0.008  18.738   0.005  17.170   0.009   0.833  -0.078
3052 1143.14  826.06  17.968   0.008  18.647   0.006  17.367   0.011   0.921   0.224
3053  453.63 1028.04  18.046   0.007  18.653   0.005  17.278   0.010   0.844  -0.228
3054 1718.97 1812.75  18.032   0.009  18.963   0.007  16.968   0.009   0.843  -0.151
3055  662.01  555.39  18.068   0.007  18.774   0.005  17.128   0.009   0.831  -0.090
3056  917.77  959.19  18.138   0.090  18.834   0.116  17.112   0.007   0.922   1.226
3057 1591.57 1849.81  18.066   0.008  18.714   0.005  17.196   0.010   0.874   0.460
3058  549.28 1505.42  18.072   0.007  18.682   0.005  17.225   0.010   0.831  -0.081
3059   95.79 1172.64  18.073   0.009  18.712   0.006  17.194   0.012   0.819  -0.100
3060  742.04 1141.19  18.067   0.007  18.717   0.005  17.193   0.009   0.842   0.014
3061 1266.86  627.89  18.074   0.008  18.709   0.005  17.198   0.010   0.841  -0.396
3062 1420.72 1086.52  18.299   0.009  18.428   0.005  17.271   0.010   0.869   0.071
3063 1651.74  943.40  18.063   0.007  18.721   0.004  17.206   0.015   0.843  -0.372
3064 1130.16  164.39  18.083   0.007  18.776   0.005  17.119   0.009   0.825  -0.118
3065 1356.49  515.37  18.087   0.007  18.732   0.005  17.162   0.009   0.829  -0.358
3066 1247.28  581.86  18.074   0.008  18.735   0.005  17.176   0.010   0.855   0.282
3067  901.59  673.71  18.087   0.008  18.768   0.005  17.128   0.009   0.863   0.173
3068 1448.06  886.66  18.090   0.021  18.749   0.009  17.147   0.006   0.890   0.503
3069  720.31  185.03  18.075   0.007  18.751   0.005  17.159   0.009   0.820  -0.003
3070 1754.21  637.54  18.063   0.008  18.711   0.005  17.215   0.010   0.844   0.048
3071  406.67 1796.82  18.070   0.007  18.684   0.005  17.237   0.010   0.820  -0.136
3072  808.42  648.62  17.941   0.007  19.076   0.006  16.958   0.009   0.902   0.776
3073  507.69  532.13  18.103   0.008  18.740   0.005  17.143   0.009   0.826  -0.168
3074 1024.24  630.89  18.097   0.008  18.698   0.005  17.196   0.010   0.883   0.345
3075 1533.28 1122.15  18.044   0.008  18.925   0.006  17.011   0.009   0.842   0.135
3076  730.97  545.74  18.078   0.007  18.778   0.005  17.130   0.009   0.837  -0.018
3077  745.94  705.56  18.079   0.007  18.776   0.005  17.132   0.009   0.823   0.054
3078 1202.36  733.18  18.081   0.008  18.728   0.006  17.181   0.010   0.897   0.415
3079 2125.52  890.10  18.052   0.014  18.711   0.009  17.246   0.019   0.871  -0.287
3080 1104.70  822.07  18.092   0.010  18.746   0.007  17.152   0.011   1.060   1.512
3081 1210.38 1155.73  18.020   0.008  18.703   0.005  17.273   0.010   0.877   0.238
3082 1560.34  536.36  18.074   0.008  18.736   0.005  17.182   0.010   0.849   0.391
3083 2226.61 1186.01  18.062   0.018  18.744   0.012  17.203   0.025   0.854  -0.441
3084  343.27  446.81  18.072   0.007  18.757   0.005  17.162   0.009   0.822  -0.100
3085  844.94  693.50  18.068   0.007  18.781   0.005  17.141   0.009   0.851  -0.031
3086  936.64  948.88  18.050   0.037  18.777   0.030  17.149   0.017   0.844  -0.288
3087  285.66  825.67  18.032   0.008  19.564   0.010  16.446   0.005   0.828  -0.285
3088 2191.74   23.86  18.081   0.016  18.756   0.010  17.160   0.019   0.880   0.243
3089 1281.93  782.10  18.065   0.008  18.768   0.005  17.159   0.009   0.870   0.340
3090 1313.51 1275.36  18.078   0.008  18.835   0.006  17.076   0.009   0.866   0.554
3091 1088.77  937.41  18.036   0.003  18.788   0.052  17.171   0.006   0.954   0.880
3092 1016.50 1043.23  18.086   0.007  18.720   0.005  17.189   0.009   0.846  -0.062
3093 1099.21  713.18  18.084   0.008  18.737   0.005  17.175   0.010   0.869  -0.114
3094 1177.87  861.58  18.099   0.010  18.721   0.008  17.180   0.011   0.945   0.044
3095 1369.92  472.18  18.071   0.009  18.764   0.006  17.164   0.011   0.943   0.939
3096  870.94 1253.77  18.069   0.008  18.738   0.005  17.194   0.010   0.894   0.659
3097  176.31 1068.00  18.077   0.009  18.748   0.005  17.177   0.011   0.826   0.176
3098 1224.74  440.33  18.087   0.008  18.756   0.005  17.157   0.009   0.839   0.053
3099 1181.47  663.10  18.077   0.009  18.733   0.006  17.193   0.010   0.897   0.465
3100 1297.19 1282.68  18.064   0.007  18.808   0.005  17.127   0.009   0.819   0.052
3101 1436.95  689.34  18.110   0.009  18.710   0.006  17.185   0.010   0.869   0.081
3102  895.63 1399.77  18.071   0.007  18.694   0.005  17.242   0.009   0.815  -0.179
3103 1305.86 1566.15  18.081   0.007  18.710   0.005  17.216   0.009   0.830  -0.035
3104 1662.55  951.33  18.088   0.010  18.740   0.007  17.180   0.012   0.823  -0.075
3105 1484.87  519.03  18.072   0.008  18.753   0.005  17.181   0.009   0.828   0.028
3106 1272.07  564.11  18.107   0.008  18.739   0.005  17.161   0.009   0.854   0.142
3107 1568.64  946.53  18.088   0.004  18.747   0.005  17.181   0.017   0.859   0.360
3108 1758.47 1392.42  18.090   0.008  18.807   0.005  17.109   0.010   0.832  -0.155
