Num    X        Y        FwhmX    FwhmY    Angle    Mag      Flux      OMC    SNR
81     377.24   652.34   2.004    1.594    1.411    15.148   829.244   6.716  34.12
82     289.56   535.82   1.735    1.541    0.05886  15.149   828.499   3.485  78.52
83     847.37   1078.8   2        1.672    0.06554  15.151   826.973   1.973  110.7
84     705.74   982.23   1.535    1.371    1.084    15.152   826.184   5.175  66.97
85     539.82   738.88   2.154    1.558    0.04964  15.153   825.335   3.53   61.48
86     1234.7   1106.2   1.961    1.696    1.489    15.156   822.81    7.041  31.02
87     571.29   832.8    1.473    1.365    0.8052   15.157   822.165   5.234  68.95
88     808.14   994.15   2.161    2.11     1.444    15.159   821.147   1.169  136
89     428.66   800.49   1.673    1.481    1.366    15.163   817.555   15.06  19.33
90     658.17   883.23   1.556    1.332    1.093    15.165   816.109   8.044  43.2
91     424.27   897.37   1.661    1.444    1.377    15.168   813.847   29.29  10.23
92     557.67   653.28   2.083    2.024    0.1521   15.17    812.274   7.523  22.61
93     515.75   639.7    1.799    1.743    1.349    15.171   811.505   2.681  85.17
94     1059.4   825.29   1.926    1.795    0.06179  15.182   803.77    1.378  148.9
95     881.71   741.63   1.737    1.529    1.213    15.182   803.29    2.067  129.2
96     861.58   643.59   1.983    1.837    0.791    15.183   802.934   1.646  118.2
97     1032     507.23   2.057    1.471    -1.567   15.187   800.202   2.413  96.73
98     692.07   775.33   2.042    1.795    -1.519   15.191   796.925   1.901  100.9
99     466.57   171.96   2.063    1.649    1.35     15.191   796.885   1.705  121.2
100    960.82   476.72   2.045    1.687    0.1998   15.192   796.592   1.481  137.6
101    523.26   822.59   1.592    1.401    1.14     15.192   795.994   17.2   18.31
102    793.79   799.48   2.001    1.963    0.1463   15.2     790.063   1.516  117.1
103    538.5    782.5    2.312    1.61     -0.5079  15.206   785.882   8.422  22.13
104    603.64   787.74   1.761    1.561    0.905    15.215   779.638   14.38  17.4
105    487.07   702.48   1.95     1.778    0.2717   15.22    775.818   1.935  102.1
106    483.79   1073.3   1.43     1.331    1.23     15.224   773.159   1.46   245.6
107    576.19   366.53   1.643    1.476    0.6829   15.236   764.385   1.28   217.2
108    936.31   703.9    2.019    1.591    0.1178   15.242   760.509   2.039  102.4
109    452.04   809.44   1.651    1.444    1.33     15.245   758.37    16.07  17.47
110    594.09   669.3    2.073    1.745    0.004306 15.247   756.99    3.746  49.31
111    430.24   853.34   1.533    1.419    0.9744   15.248   756.146   6.031  50.86
112    553.36   752.91   1.973    1.892    -0.1411  15.249   755.821   9.085  19.67
113    413.95   570.24   1.607    1.429    1.42     15.252   753.522   2.032  142.5
114    449.11   1103.8   1.467    1.281    1.087    15.255   751.591   2.4    147
