# ID    d   s   ds    e  e  f    Bmag   e_B   Vmag   e_V    diff
ID-0073 17 37 16.94  -3 14  8.38 22.611 0.043 21.414 0.029 -0.032
ID-0074 17 37 16.95  -3 14 19.11 21.608 0.017 20.606 0.014 -0.032
ID-0075 17 37 16.96  -3 14 22.91 22.387 0.028 21.309 0.025 -0.032
ID-0076 17 37 16.96  -3 16 49.90 17.261 0.002 15.633 0.001  0.006
ID-0077 17 37 16.97  -3 14 39.39 22.593 0.041 21.517 0.030 -0.032
ID-0078 17 37 17.01  -3  8 56.24 21.780 0.019 20.912 0.023  0.002
ID-0079 17 37 17.05  -3 18 28.91 22.085 0.027 21.108 0.025 -0.001
ID-0080 17 37 17.07  -3 13 44.75 22.374 0.022 21.385 0.026 -0.032
ID-0081 17 37 17.07  -3 17 15.24 22.745 0.047 21.753 0.041  0.006
ID-0082 17 37 17.10  -3 15  0.92 22.911 0.047 21.816 0.038 -0.022
ID-0083 17 37 17.12  -3 12 54.44 20.244 0.006 19.046 0.005 -0.050
ID-0084 17 37 17.15  -3 11 47.71 18.979 0.002 17.853 0.003 -0.041
ID-0085 17 37 17.17  -3 15 42.04 21.583 0.017 20.576 0.014 -0.022
ID-0086 17 37 17.20  -3  9  3.48 21.619 0.016 20.504 0.015  0.002
ID-0087 17 37 17.21  -3 17 42.33 22.163 0.031 21.079 0.022 -0.001
ID-0088 17 37 17.22  -3  8 50.81 22.274 0.029 21.018 0.019  0.002
ID-0089 17 37 17.23  -3 17 33.43 22.195 0.028 20.898 0.020 -0.001
ID-0090 17 37 17.25  -3 16 42.70 21.799 0.020 20.788 0.018  0.006
ID-0091 17 37 17.26  -3 10 58.75 23.252 0.054 22.045 0.057 -0.041
ID-0092 17 37 17.30  -3  8 17.15 22.261 0.032 21.302 0.030  0.002
ID-0093 17 37 17.30  -3 18 42.91 22.990 0.047 21.992 0.054 -0.001
ID-0094 17 37 17.31  -3 16 22.78 23.098 0.054 22.110 0.050  0.006
ID-0095 17 37 17.34  -3 17 31.47 22.856 0.048 21.924 0.044 -0.001
ID-0096 17 37 17.38  -3 14 36.77 22.166 0.021 21.147 0.019 -0.032
ID-0097 17 37 17.39  -3 16  6.26 22.245 0.027 21.178 0.021 -0.022
ID-0098 17 37 17.39  -3 19 56.69 22.047 0.026 20.822 0.019 -0.006
ID-0099 17 37 17.40  -3 16 15.31 22.544 0.038 21.345 0.030  0.006
ID-0100 17 37 17.42  -3 20 19.85 21.912 0.030 20.975 0.021  0.013
ID-0101 17 37 17.43  -3 14  1.63 23.014 0.057 21.919 0.050 -0.032
ID-0102 17 37 17.43  -3 15 19.97 22.603 0.039 21.659 0.038 -0.022
ID-0103 17 37 17.46  -3 12 11.60 22.770 0.039 21.758 0.029 -0.050
ID-0104 17 37 17.46  -3 16 18.52 21.907 0.023 20.912 0.018  0.006
ID-0105 17 37 17.47  -3 18 15.94 22.515 0.039 21.542 0.036 -0.001
ID-0106 17 37 17.48  -3  8 51.28 22.974 0.056 21.999 0.047  0.002
ID-0107 17 37 17.48  -3 16 44.05 22.307 0.031 21.163 0.025  0.006
ID-0108 17 37 17.50  -3 14 52.14 23.135 0.050 21.955 0.050 -0.022
ID-0109 17 37 17.53  -3 14 43.48 22.571 0.034 21.556 0.034 -0.032
ID-0110 17 37 17.55  -3 14 31.69 22.079 0.019 21.107 0.020 -0.032
ID-0111 17 37 17.55  -3 14 56.62 21.244 0.013 20.203 0.011 -0.022
ID-0112 17 37 17.55  -3 16 34.18 21.162 0.012 20.098 0.010  0.006
ID-0113 17 37 17.57  -3  9  9.03 21.685 0.022 20.618 0.016  0.002
ID-0114 17 37 17.59  -3 10 31.17 22.490 0.038 21.464 0.026 -0.048
ID-0115 17 37 17.59  -3 14 17.39 21.909 0.021 20.922 0.018 -0.032
ID-0116 17 37 17.59  -3 19 35.32 22.440 0.041 21.357 0.030 -0.006
ID-0117 17 37 17.61  -3 15  3.52 22.167 0.031 21.160 0.021 -0.022
ID-0118 17 37 17.62  -3 14 59.19 20.917 0.010 20.601 0.014 -0.022
