# ID    d   s   ds    e  e  f    Bmag   e_B   Vmag   e_V    diff
ID-2233 17 37 29.92  -3 13 32.56 18.105 0.002 17.482 0.002 -0.013
ID-2234 17 37 29.94  -3 17 41.44 21.773 0.016 20.823 0.018 -0.021
ID-2235 17 37 29.94  -3 18  4.87 22.921 0.049 22.039 0.051 -0.021
ID-2236 17 37 29.95  -3 10  0.74 22.022 0.021 21.029 0.018 -0.035
ID-2237 17 37 29.95  -3 12 40.48 22.133 0.023 21.084 0.024 -0.016
ID-2238 17 37 29.96  -3 11 10.06 22.079 0.020 21.070 0.019 -0.041
ID-2239 17 37 29.96  -3 13 34.69 19.231 0.004 17.867 0.002 -0.013
ID-2240 17 37 29.96  -3 17 23.06 22.033 0.025 21.014 0.023 -0.024
ID-2241 17 37 29.96  -3 17  3.05 22.039 0.024 21.084 0.021 -0.024
ID-2242 17 37 29.97  -3  8 46.05 22.585 0.033 21.606 0.036 -0.052
ID-2243 17 37 29.97  -3 10 10.25 21.109 0.012 19.848 0.006 -0.035
ID-2244 17 37 29.97  -3 17 17.22 21.482 0.015 20.474 0.013 -0.024
ID-2245 17 37 29.97  -3 19  4.06 21.060 0.011 20.516 0.016 -0.006
ID-2246 17 37 29.98  -3 11 48.02 22.242 0.030 21.277 0.021 -0.041
ID-2247 17 37 29.98  -3 14 15.96 19.820 0.005 18.500 0.004 -0.013
ID-2248 17 37 29.98  -3 17 36.92 21.265 0.015 20.200 0.010 -0.021
ID-2249 17 37 29.98  -3 17 45.79 22.712 0.045 21.189 0.022 -0.021
ID-2250 17 37 29.99  -3 11 55.11 22.838 0.040 21.763 0.034 -0.041
ID-2251 17 37 30.00  -3 13 22.75 18.127 0.002 16.644 0.001 -0.016
ID-2252 17 37 30.02  -3 13  4.87 22.427 0.033 21.314 0.025 -0.016
ID-2253 17 37 30.03  -3 16 52.01 21.426 0.017 20.361 0.013 -0.024
ID-2254 17 37 30.04  -3 15 21.86 17.957 0.002 16.436 0.002 -0.013
ID-2255 17 37 30.04  -3 17 35.48 21.372 0.014 20.367 0.012 -0.021
ID-2256 17 37 30.04  -3 20 33.18 22.940 0.039 21.764 0.040 -0.044
ID-2257 17 37 30.05  -3 10 53.38 21.640 0.015 20.679 0.012 -0.041
ID-2258 17 37 30.05  -3 16 38.35 18.653 0.003 17.290 0.002 -0.024
ID-2259 17 37 30.05  -3 17 11.84 21.969 0.023 20.939 0.019 -0.024
ID-2260 17 37 30.05  -3 17  9.01 22.588 0.041 21.588 0.032 -0.024
ID-2261 17 37 30.05  -3 19 12.32 21.676 0.016 20.705 0.014 -0.006
ID-2262 17 37 30.06  -3 15  7.67 18.456 0.002 17.036 0.002 -0.013
ID-2263 17 37 30.06  -3 18 44.40 22.902 0.045 21.810 0.038 -0.021
ID-2264 17 37 30.06  -3 17 47.92 22.833 0.054 21.813 0.035 -0.021
ID-2265 17 37 30.06  -3 20 14.38 19.576 0.004 18.411 0.003 -0.044
ID-2266 17 37 30.07  -3 12 47.62 21.468 0.015 20.260 0.010 -0.016
ID-2267 17 37 30.07  -3 12  6.07 22.402 0.037 21.335 0.028 -0.016
ID-2268 17 37 30.08  -3 19 35.32 22.557 0.046 21.514 0.030 -0.006
ID-2269 17 37 30.09  -3 17 13.58 21.180 0.012 20.041 0.008 -0.024
ID-2270 17 37 30.09  -3 16 46.91 22.218 0.023 21.247 0.027 -0.024
ID-2271 17 37 30.10  -3 10 51.05 22.152 0.022 21.113 0.024 -0.041
ID-2272 17 37 30.10  -3 14 41.40 17.783 0.002 16.342 0.001 -0.013
ID-2273 17 37 30.11  -3 15 44.64 18.719 0.003 17.269 0.002 -0.013
ID-2274 17 37 30.11  -3 17  5.08 22.024 0.027 21.000 0.018 -0.024
ID-2275 17 37 30.12  -3 11 11.98 23.173 0.053 22.216 0.040 -0.041
ID-2276 17 37 30.12  -3 12 42.97 22.377 0.028 21.386 0.030 -0.016
ID-2277 17 37 30.12  -3 18 41.45 21.506 0.018 20.491 0.010 -0.021
ID-2278 17 37 30.12  -3 17 46.09 22.917 0.056 21.834 0.040 -0.021
ID-2279 17 37 30.13  -3 15 57.63 19.024 0.002 17.608 0.002 -0.013
ID-2280 17 37 30.14  -3 10 34.77 22.680 0.037 21.770 0.035 -0.035
ID-2281 17 37 30.15  -3 19 19.40 22.662 0.038 21.644 0.029 -0.006
ID-2282 17 37 30.18  -3 12  2.11 22.830 0.039 21.814 0.038 -0.041
ID-2283 17 37 30.18  -3 11  9.94 22.980 0.050 21.986 0.035 -0.041
ID-2284 17 37 30.18  -3 12 15.20 19.681 0.005 18.363 0.003 -0.016
ID-2285 17 37 30.18  -3 17 50.18 21.739 0.014 20.774 0.017 -0.021
ID-2286 17 37 30.19  -3 10 23.56 22.930 0.032 21.845 0.034 -0.035
ID-2287 17 37 30.19  -3 16 45.12 22.439 0.035 21.445 0.034 -0.024
ID-2288 17 37 30.21  -3 10  2.79 22.400 0.034 21.456 0.024 -0.035
ID-2289 17 37 30.21  -3 12 51.39 17.534 0.002 15.922 0.001 -0.016
ID-2290 17 37 30.22  -3 17 59.20 22.736 0.041 21.820 0.036 -0.021
ID-2291 17 37 30.23  -3 15 14.94 17.948 0.002 16.415 0.001 -0.013
ID-2292 17 37 30.23  -3 20  6.22 19.798 0.005 18.671 0.004 -0.006
ID-2293 17 37 30.24  -3 10 38.03 21.550 0.019 20.537 0.012 -0.035
ID-2294 17 37 30.25  -3 16 35.26 21.574 0.019 20.480 0.013 -0.024
ID-2295 17 37 30.26  -3 12  3.49 22.396 0.026 21.322 0.024 -0.041
ID-2296 17 37 30.26  -3 13 31.95 21.180 0.016 20.070 0.010 -0.013
ID-2297 17 37 30.26  -3 17  6.61 21.792 0.021 20.762 0.016 -0.024
ID-2298 17 37 30.26  -3 17 37.50 22.270 0.022 21.462 0.025 -0.021
ID-2299 17 37 30.27  -3 12 37.32 22.926 0.050 21.808 0.041 -0.016
ID-2300 17 37 30.29  -3 11 41.30 21.941 0.024 20.909 0.018 -0.041
ID-2301 17 37 30.29  -3 16 17.07 22.691 0.038 21.662 0.034 -0.024
ID-2302 17 37 30.30  -3 17 21.22 21.943 0.020 20.911 0.019 -0.024
ID-2303 17 37 30.31  -3 11 56.32 22.904 0.048 21.886 0.040 -0.041
ID-2304 17 37 30.31  -3 12  8.90 21.989 0.020 20.970 0.019 -0.016
ID-2305 17 37 30.31  -3 19  7.06 21.428 0.015 20.420 0.011 -0.006
ID-2306 17 37 30.32  -3 17 30.25 21.298 0.015 20.243 0.012 -0.021
ID-2307 17 37 30.32  -3 19 13.25 21.937 0.023 20.921 0.016 -0.006
ID-2308 17 37 30.33  -3  9 33.97 18.533 0.002 18.022 0.002 -0.040
ID-2309 17 37 30.33  -3 11  9.40 22.822 0.037 21.878 0.035 -0.041
ID-2310 17 37 30.33  -3 11 51.22 23.172 0.049 22.025 0.041 -0.041
ID-2311 17 37 30.33  -3 12 48.91 22.698 0.042 21.739 0.043 -0.016
ID-2312 17 37 30.35  -3 10 57.48 22.958 0.034 21.964 0.036 -0.041
ID-2313 17 37 30.35  -3 17  7.58 21.774 0.023 20.727 0.017 -0.024
ID-2314 17 37 30.36  -3 11 45.97 22.315 0.026 21.265 0.023 -0.041
ID-2315 17 37 30.36  -3 17 13.12 23.030 0.054 21.986 0.040 -0.024
ID-2316 17 37 30.39  -3 11 43.62 21.809 0.015 20.830 0.018 -0.051
ID-2317 17 37 30.39  -3 16 42.79 17.817 0.001 17.218 0.002 -0.024
ID-2318 17 37 30.41  -3 16 33.98 19.116 0.004 17.777 0.002 -0.024
ID-2319 17 37 30.41  -3 17 32.60 21.985 0.022 20.993 0.023 -0.021
ID-2320 17 37 30.41  -3 19  1.15 22.722 0.047 21.529 0.033 -0.006
ID-2321 17 37 30.43  -3 14 20.81 19.089 0.004 17.666 0.003 -0.013
ID-2322 17 37 30.43  -3 16  4.11 20.644 0.010 19.596 0.007 -0.013
ID-2323 17 37 30.44  -3 10  2.86 20.016 0.006 18.816 0.003 -0.040
ID-2324 17 37 30.44  -3 12 45.62 22.139 0.028 21.134 0.026 -0.018
ID-2325 17 37 30.44  -3 17 23.23 23.206 0.054 22.156 0.047 -0.024
ID-2326 17 37 30.44  -3 19 12.07 23.104 0.058 21.990 0.050 -0.006
ID-2327 17 37 30.45  -3 10 14.84 21.280 0.011 20.257 0.009 -0.040
ID-2328 17 37 30.45  -3 11  7.00 22.163 0.023 21.247 0.022 -0.051
ID-2329 17 37 30.45  -3 15  2.34 18.123 0.002 17.541 0.002 -0.013
ID-2330 17 37 30.45  -3 18 34.70 21.750 0.021 20.750 0.016 -0.021
ID-2331 17 37 30.46  -3 17  5.02 23.073 0.057 21.827 0.044 -0.024
ID-2332 17 37 30.47  -3 11  9.41 21.661 0.016 20.646 0.013 -0.051
ID-2333 17 37 30.47  -3 17 56.35 23.108 0.055 22.075 0.043 -0.021
ID-2334 17 37 30.48  -3 14 11.10 18.792 0.003 17.379 0.002 -0.001
ID-2335 17 37 30.48  -3 14 36.38 18.448 0.002 17.829 0.003 -0.001
ID-2336 17 37 30.49  -3  9 37.67 20.723 0.007 19.426 0.005 -0.040
ID-2337 17 37 30.49  -3 10 57.97 21.892 0.014 20.881 0.017 -0.051
ID-2338 17 37 30.49  -3 16 49.67 22.302 0.029 21.219 0.028 -0.024
ID-2339 17 37 30.49  -3 18 55.13 16.987 0.002 15.240 0.001 -0.006
ID-2340 17 37 30.50  -3  9 20.47 22.988 0.041 21.898 0.038 -0.044
ID-2341 17 37 30.50  -3 11 29.64 23.136 0.048 22.021 0.047 -0.051
ID-2342 17 37 30.50  -3 12 36.70 22.205 0.031 21.144 0.022 -0.018
ID-2343 17 37 30.50  -3 12 15.61 22.359 0.024 21.405 0.028 -0.018
ID-2344 17 37 30.51  -3 17 34.72 20.925 0.009 19.935 0.009 -0.021
ID-2345 17 37 30.52  -3  9 45.63 22.870 0.031 21.782 0.033 -0.040
ID-2346 17 37 30.52  -3 17  5.97 21.924 0.018 20.966 0.022 -0.024
ID-2347 17 37 30.52  -3 17 26.01 22.285 0.029 21.219 0.027 -0.024
ID-2348 17 37 30.52  -3 18 21.64 21.962 0.021 20.988 0.023 -0.021
ID-2349 17 37 30.53  -3 11 39.20 22.297 0.025 21.255 0.020 -0.051
ID-2350 17 37 30.53  -3 13 34.51 18.969 0.004 17.630 0.002 -0.001
ID-2351 17 37 30.54  -3 11 36.10 21.160 0.010 20.099 0.008 -0.051
ID-2352 17 37 30.54  -3 11 26.38 21.653 0.013 20.664 0.012 -0.051
ID-2353 17 37 30.54  -3 11 56.59 22.242 0.027 21.252 0.024 -0.051
ID-2354 17 37 30.56  -3 14 17.71 18.141 0.002 16.596 0.002 -0.001
ID-2355 17 37 30.57  -3 11 28.07 21.638 0.017 20.630 0.013 -0.051
ID-2356 17 37 30.57  -3 13 11.32 22.493 0.041 21.260 0.025 -0.018
ID-2357 17 37 30.57  -3 12 32.21 22.429 0.034 21.439 0.033 -0.018
ID-2358 17 37 30.59  -3 10  7.60 18.580 0.002 17.236 0.002 -0.040
ID-2359 17 37 30.59  -3 11 48.40 22.390 0.025 21.400 0.026 -0.051
ID-2360 17 37 30.60  -3 12 20.58 21.777 0.024 20.841 0.017 -0.018
ID-2361 17 37 30.61  -3 11 23.51 21.681 0.014 20.733 0.013 -0.051
ID-2362 17 37 30.61  -3 12 50.69 22.708 0.038 21.775 0.044 -0.018
ID-2363 17 37 30.63  -3 10 56.17 22.172 0.025 21.108 0.019 -0.051
ID-2364 17 37 30.63  -3 17  7.67 22.439 0.027 21.453 0.030 -0.027
ID-2365 17 37 30.64  -3 12  7.85 23.032 0.043 22.181 0.049 -0.018
ID-2366 17 37 30.65  -3 11 42.53 22.870 0.032 21.805 0.034 -0.051
ID-2367 17 37 30.65  -3 12 44.47 22.794 0.041 21.717 0.033 -0.018
ID-2368 17 37 30.66  -3  9  6.32 21.907 0.018 20.525 0.012 -0.044
ID-2369 17 37 30.66  -3 18  4.77 22.299 0.034 21.225 0.024 -0.007
ID-2370 17 37 30.67  -3 11 46.38 21.670 0.017 20.649 0.014 -0.051
ID-2371 17 37 30.67  -3 13 49.47 18.174 0.002 16.675 0.001 -0.001
ID-2372 17 37 30.67  -3 19 57.08 22.940 0.054 21.873 0.036 -0.010
ID-2373 17 37 30.68  -3 13 57.26 18.343 0.003 16.843 0.001 -0.001
ID-2374 17 37 30.68  -3 18 13.88 22.720 0.041 21.673 0.030 -0.007
ID-2375 17 37 30.68  -3 20  1.89 20.566 0.007 19.377 0.005 -0.010
ID-2376 17 37 30.69  -3 17 15.94 18.655 0.002 17.284 0.002 -0.027
ID-2377 17 37 30.70  -3 16 36.18 18.672 0.003 17.311 0.002 -0.027
ID-2378 17 37 30.72  -3 12 33.72 22.602 0.043 21.561 0.032 -0.018
ID-2379 17 37 30.73  -3 11 28.98 20.960 0.010 19.732 0.008 -0.051
ID-2380 17 37 30.73  -3 19 26.14 21.632 0.018 20.612 0.014 -0.010
ID-2381 17 37 30.74  -3 11 17.64 22.438 0.035 21.479 0.023 -0.051
ID-2382 17 37 30.74  -3 17 59.48 22.066 0.030 21.039 0.021 -0.007
ID-2383 17 37 30.75  -3 17 25.81 21.329 0.017 20.231 0.009 -0.027
ID-2384 17 37 30.78  -3 11 15.44 21.710 0.015 20.744 0.016 -0.051
ID-2385 17 37 30.78  -3 11 40.21 23.256 0.055 22.199 0.046 -0.051
ID-2386 17 37 30.78  -3 11 31.90 23.299 0.053 22.222 0.051 -0.051
ID-2387 17 37 30.78  -3 13 30.84 19.853 0.005 18.543 0.004 -0.001
ID-2388 17 37 30.78  -3 18 23.56 20.370 0.007 19.156 0.004 -0.007
ID-2389 17 37 30.79  -3 12 27.32 22.227 0.029 21.224 0.023 -0.018
ID-2390 17 37 30.79  -3 13 35.02 21.640 0.018 20.622 0.017 -0.001
ID-2391 17 37 30.80  -3 11  5.68 22.182 0.021 21.249 0.026 -0.051
ID-2392 17 37 30.80  -3 18 18.55 21.801 0.019 20.505 0.013 -0.007
ID-2393 17 37 30.80  -3 17 28.78 22.523 0.037 21.456 0.034 -0.007
ID-2394 17 37 30.81  -3 12  3.22 22.667 0.029 21.598 0.029 -0.051
ID-2395 17 37 30.81  -3 11 34.95 22.759 0.029 21.701 0.031 -0.051
ID-2396 17 37 30.81  -3 19 31.52 21.793 0.017 20.826 0.020 -0.010
ID-2397 17 37 30.82  -3 17 56.05 22.551 0.036 21.469 0.036 -0.007
ID-2398 17 37 30.82  -3 19 10.49 21.662 0.019 20.644 0.013 -0.010
ID-2399 17 37 30.83  -3 11 49.50 22.867 0.040 21.931 0.042 -0.051
ID-2400 17 37 30.83  -3 17 32.46 20.912 0.012 19.897 0.009 -0.007
ID-2401 17 37 30.83  -3 17 35.86 22.649 0.036 21.507 0.034 -0.007
ID-2402 17 37 30.84  -3 10 15.99 22.639 0.036 21.588 0.030 -0.040
ID-2403 17 37 30.84  -3 16  8.46 18.646 0.003 17.229 0.002 -0.027
ID-2404 17 37 30.85  -3 10 42.78 20.671 0.006 19.523 0.005 -0.040
ID-2405 17 37 30.85  -3 12 10.94 22.126 0.025 21.103 0.020 -0.018
ID-2406 17 37 30.86  -3 18 11.28 20.942 0.010 19.870 0.008 -0.007
ID-2407 17 37 30.86  -3 18 15.42 22.719 0.045 21.604 0.028 -0.007
ID-2408 17 37 30.87  -3 10 57.77 22.155 0.027 21.133 0.019 -0.051
ID-2409 17 37 30.88  -3  8 55.09 21.890 0.020 20.920 0.015 -0.044
ID-2410 17 37 30.88  -3 11 24.74 22.865 0.041 21.834 0.040 -0.051
ID-2411 17 37 30.89  -3 18 34.38 21.598 0.020 20.615 0.013 -0.007
ID-2412 17 37 30.89  -3 17 53.60 21.696 0.019 20.680 0.013 -0.007
ID-2413 17 37 30.90  -3 12 44.33 22.410 0.036 21.138 0.025 -0.018
ID-2414 17 37 30.90  -3 18 42.77 21.995 0.024 21.054 0.021 -0.007
ID-2415 17 37 30.90  -3 18 46.54 21.973 0.021 21.017 0.023 -0.010
ID-2416 17 37 30.91  -3  9 25.43 18.230 0.002 17.096 0.002 -0.040
ID-2417 17 37 30.92  -3 18 29.82 22.393 0.032 21.376 0.031 -0.007
ID-2418 17 37 30.93  -3 16 53.31 18.753 0.004 17.389 0.002 -0.027
ID-2419 17 37 30.93  -3 16 57.64 19.853 0.004 18.575 0.003 -0.027
ID-2420 17 37 30.94  -3 14 58.22 18.114 0.003 16.631 0.002 -0.006
ID-2421 17 37 30.96  -3 12 59.36 18.218 0.002 17.638 0.002 -0.018
ID-2422 17 37 30.96  -3 12 55.61 21.245 0.014 20.290 0.011 -0.018
ID-2423 17 37 30.96  -3 14 15.32 18.142 0.003 17.424 0.002 -0.001
ID-2424 17 37 30.97  -3 17 27.15 20.650 0.007 19.449 0.006 -0.007
ID-2425 17 37 30.98  -3 12 57.72 19.170 0.004 17.848 0.002 -0.018
ID-2426 17 37 30.99  -3 11 14.01 23.019 0.050 22.007 0.046 -0.051
ID-2427 17 37 30.99  -3 13 32.54 21.808 0.026 20.827 0.021 -0.001
ID-2428 17 37 31.00  -3 10 10.70 21.351 0.012 20.368 0.012 -0.040
ID-2429 17 37 31.00  -3 11 15.74 22.008 0.022 21.042 0.021 -0.051
ID-2430 17 37 31.00  -3 12 14.82 20.323 0.007 19.091 0.004 -0.018
ID-2431 17 37 31.01  -3  9 12.31 23.167 0.053 22.096 0.040 -0.044
ID-2432 17 37 31.02  -3  9 51.03 22.353 0.027 20.988 0.018 -0.040
ID-2433 17 37 31.02  -3 11 17.59 21.414 0.012 20.405 0.012 -0.051
ID-2434 17 37 31.02  -3 12 45.40 23.137 0.049 22.051 0.047 -0.018
ID-2435 17 37 31.02  -3 15  9.51 18.677 0.002 17.254 0.002 -0.006
ID-2436 17 37 31.03  -3 10 32.64 22.671 0.037 21.627 0.031 -0.040
ID-2437 17 37 31.03  -3 12 12.15 21.315 0.016 20.228 0.010 -0.018
ID-2438 17 37 31.04  -3  9 59.53 23.091 0.058 21.923 0.038 -0.040
ID-2439 17 37 31.05  -3 12  9.17 22.952 0.048 22.001 0.057 -0.018
ID-2440 17 37 31.06  -3 10 38.10 23.058 0.037 22.106 0.043 -0.040
ID-2441 17 37 31.06  -3 14 21.77 18.416 0.002 16.925 0.002 -0.001
ID-2442 17 37 31.07  -3 18 36.62 21.634 0.017 20.640 0.014 -0.007
ID-2443 17 37 31.08  -3 12 36.12 22.408 0.037 21.395 0.028 -0.018
ID-2444 17 37 31.08  -3 17 55.16 22.054 0.023 20.960 0.017 -0.007
ID-2445 17 37 31.09  -3 16 11.95 21.507 0.019 20.435 0.014 -0.027
ID-2446 17 37 31.10  -3 19 29.33 21.024 0.014 19.901 0.008 -0.010
ID-2447 17 37 31.10  -3 18 46.80 21.943 0.020 20.959 0.020 -0.010
ID-2448 17 37 31.11  -3 17 33.02 22.281 0.037 21.270 0.025 -0.007
ID-2449 17 37 31.11  -3 17 58.91 22.507 0.027 21.482 0.027 -0.007
ID-2450 17 37 31.12  -3 18 28.97 22.394 0.040 21.412 0.030 -0.007
ID-2451 17 37 31.12  -3 18  6.41 22.423 0.034 21.493 0.029 -0.007
ID-2452 17 37 31.13  -3 11 44.01 20.057 0.005 18.770 0.004 -0.051
ID-2453 17 37 31.14  -3 10 35.27 21.871 0.019 20.839 0.016 -0.040
ID-2454 17 37 31.14  -3 11 14.52 22.878 0.042 21.851 0.034 -0.051
ID-2455 17 37 31.14  -3 18 55.43 23.004 0.051 21.957 0.045 -0.010
ID-2456 17 37 31.15  -3 11  9.35 21.327 0.009 20.284 0.010 -0.051
ID-2457 17 37 31.15  -3 13 20.98 21.466 0.019 20.384 0.013 -0.018
ID-2458 17 37 31.15  -3 12 44.50 21.736 0.017 20.688 0.016 -0.018
ID-2459 17 37 31.15  -3 12 31.10 22.010 0.022 20.897 0.015 -0.018
ID-2460 17 37 31.15  -3 12 35.10 22.627 0.040 21.731 0.036 -0.018
ID-2461 17 37 31.15  -3 18  9.03 22.224 0.030 21.286 0.024 -0.007
ID-2462 17 37 31.16  -3 10 31.32 21.248 0.009 20.157 0.008 -0.040
ID-2463 17 37 31.16  -3 12 42.65 22.337 0.024 21.297 0.025 -0.018
ID-2464 17 37 31.16  -3 16 10.73 22.531 0.038 21.267 0.023 -0.027
ID-2465 17 37 31.17  -3 14 31.65 18.176 0.003 17.442 0.002 -0.001
ID-2466 17 37 31.17  -3 19 31.69 20.342 0.007 19.117 0.004 -0.010
ID-2467 17 37 31.18  -3 11 50.45 21.092 0.009 20.170 0.008 -0.051
ID-2468 17 37 31.20  -3  8 30.28 21.983 0.025 21.050 0.014 -0.044
ID-2469 17 37 31.20  -3 13 39.21 18.052 0.002 17.389 0.002 -0.001
ID-2470 17 37 31.20  -3 15 55.22 22.289 0.033 21.348 0.027 -0.006
ID-2471 17 37 31.20  -3 20 30.80 22.921 0.051 21.921 0.038 -0.026
ID-2472 17 37 31.22  -3 12 16.69 19.740 0.005 18.504 0.004 -0.018
ID-2473 17 37 31.22  -3 18 46.49 23.074 0.054 22.146 0.054 -0.010
ID-2474 17 37 31.23  -3 11 56.74 19.954 0.006 18.678 0.003 -0.051
ID-2475 17 37 31.23  -3 12  7.52 22.693 0.038 21.667 0.034 -0.018
ID-2476 17 37 31.23  -3 17 49.36 22.662 0.041 21.757 0.030 -0.007
ID-2477 17 37 31.23  -3 18 25.83 23.098 0.052 22.060 0.044 -0.007
ID-2478 17 37 31.23  -3 19  9.94 22.061 0.031 20.792 0.017 -0.010
ID-2479 17 37 31.23  -3 20 44.54 20.216 0.005 19.229 0.004 -0.026
ID-2480 17 37 31.24  -3 11 59.64 22.395 0.030 21.262 0.025 -0.051
ID-2481 17 37 31.24  -3 13  7.04 22.421 0.034 21.470 0.024 -0.018
ID-2482 17 37 31.24  -3 18 22.48 22.825 0.056 21.778 0.036 -0.007
ID-2483 17 37 31.25  -3 18 40.48 21.981 0.023 21.040 0.019 -0.007
ID-2484 17 37 31.26  -3 11 37.90 20.139 0.004 18.832 0.003 -0.051
ID-2485 17 37 31.26  -3 10 46.03 22.897 0.035 21.861 0.036 -0.051
ID-2486 17 37 31.26  -3 12 51.80 22.937 0.051 22.040 0.044 -0.018
ID-2487 17 37 31.27  -3 11 54.62 19.089 0.002 17.725 0.002 -0.051
ID-2488 17 37 31.27  -3 15 24.74 18.095 0.002 17.330 0.002 -0.006
ID-2489 17 37 31.28  -3  9  6.56 23.413 0.059 22.393 0.059 -0.044
ID-2490 17 37 31.28  -3 13  1.59 19.594 0.005 19.093 0.005 -0.018
ID-2491 17 37 31.28  -3 12 14.26 21.770 0.019 20.813 0.019 -0.018
ID-2492 17 37 31.28  -3 16 12.53 22.159 0.031 21.116 0.025 -0.027
ID-2493 17 37 31.29  -3  8 54.74 22.721 0.039 21.400 0.031 -0.044
ID-2494 17 37 31.29  -3 11 25.35 21.185 0.010 20.036 0.009 -0.051
ID-2495 17 37 31.29  -3 12 32.88 22.049 0.024 21.063 0.021 -0.018
ID-2496 17 37 31.29  -3 15 39.13 18.683 0.003 17.311 0.002 -0.006
ID-2497 17 37 31.30  -3 12 48.20 21.572 0.017 20.562 0.013 -0.018
ID-2498 17 37 31.30  -3 20 34.65 22.044 0.028 21.080 0.023 -0.026
ID-2499 17 37 31.31  -3 12 21.66 20.435 0.009 19.161 0.005 -0.018
ID-2500 17 37 31.31  -3 12 34.63 22.002 0.025 20.890 0.018 -0.018
ID-2501 17 37 31.31  -3 17 30.58 22.939 0.051 21.797 0.045 -0.007
ID-2502 17 37 31.32  -3 11 41.57 22.423 0.028 21.323 0.021 -0.051
ID-2503 17 37 31.32  -3 18 18.78 22.873 0.049 21.827 0.038 -0.007
ID-2504 17 37 31.33  -3 14  8.07 18.729 0.003 17.273 0.002 -0.001
ID-2505 17 37 31.33  -3 19 50.73 22.351 0.029 21.353 0.023 -0.010
ID-2506 17 37 31.34  -3 11 51.21 19.852 0.004 18.593 0.003 -0.051
ID-2507 17 37 31.34  -3 19 21.91 21.469 0.016 20.453 0.012 -0.010
ID-2508 17 37 31.36  -3 10 29.68 19.863 0.003 18.603 0.004 -0.040
ID-2509 17 37 31.38  -3 10 36.32 22.302 0.021 21.338 0.023 -0.040
ID-2510 17 37 31.38  -3 15 21.17 18.138 0.002 17.402 0.003 -0.006
ID-2511 17 37 31.38  -3 20 22.78 21.204 0.011 20.118 0.010 -0.026
ID-2512 17 37 31.39  -3 17  6.30 18.421 0.002 16.978 0.001 -0.027
ID-2513 17 37 31.40  -3 14 10.93 17.802 0.002 16.191 0.002 -0.001
ID-2514 17 37 31.41  -3  8 13.53 22.002 0.023 21.011 0.016 -0.044
ID-2515 17 37 31.41  -3 16 52.05 21.127 0.014 20.089 0.009 -0.027
ID-2516 17 37 31.41  -3 19 25.05 22.766 0.039 21.814 0.034 -0.010
ID-2517 17 37 31.42  -3 17 51.24 20.908 0.011 19.709 0.007 -0.007
ID-2518 17 37 31.43  -3 12 27.83 21.668 0.018 20.659 0.015 -0.018
ID-2519 17 37 31.44  -3  8 34.72 20.647 0.007 19.387 0.005 -0.044
ID-2520 17 37 31.44  -3 10 15.07 22.062 0.022 21.088 0.017 -0.040
ID-2521 17 37 31.44  -3 17 25.71 22.498 0.038 21.446 0.031 -0.027
ID-2522 17 37 31.44  -3 18 30.73 21.914 0.020 20.951 0.022 -0.007
ID-2523 17 37 31.44  -3 18 52.36 22.667 0.034 21.702 0.037 -0.010
ID-2524 17 37 31.45  -3 11 31.47 21.761 0.015 20.811 0.015 -0.051
ID-2525 17 37 31.46  -3 16 21.97 20.721 0.011 19.622 0.006 -0.027
ID-2526 17 37 31.46  -3 19 29.58 22.662 0.039 21.715 0.036 -0.010
ID-2527 17 37 31.47  -3 13  2.56 18.732 0.002 17.332 0.002 -0.018
ID-2528 17 37 31.47  -3 21  4.24 21.671 0.019 20.310 0.010 -0.026
ID-2529 17 37 31.48  -3  9 20.44 22.605 0.036 21.598 0.027 -0.044
ID-2530 17 37 31.49  -3 14 34.26 19.240 0.005 17.847 0.003 -0.001
ID-2531 17 37 31.49  -3 17  4.29 20.203 0.007 18.973 0.004 -0.027
ID-2532 17 37 31.50  -3 10 51.03 20.515 0.009 19.299 0.004 -0.051
ID-2533 17 37 31.51  -3  8 36.58 22.350 0.022 21.451 0.030 -0.044
ID-2534 17 37 31.51  -3 15 52.13 19.246 0.004 17.905 0.003 -0.006
ID-2535 17 37 31.51  -3 18  3.16 22.925 0.042 21.918 0.038 -0.007
ID-2536 17 37 31.52  -3 12 14.04 22.443 0.033 21.394 0.027 -0.018
ID-2537 17 37 31.52  -3 16 43.51 19.456 0.004 18.140 0.003 -0.027
ID-2538 17 37 31.52  -3 19 58.64 17.836 0.001 16.853 0.001 -0.010
ID-2539 17 37 31.54  -3 10 33.79 20.307 0.005 18.950 0.005 -0.040
ID-2540 17 37 31.54  -3 15 46.20 18.171 0.002 16.714 0.002 -0.006
ID-2541 17 37 31.55  -3 16 24.41 18.744 0.003 17.372 0.002 -0.027
ID-2542 17 37 31.55  -3 18  7.03 21.070 0.010 19.890 0.008 -0.007
ID-2543 17 37 31.56  -3 17 46.98 22.994 0.053 22.123 0.045 -0.007
ID-2544 17 37 31.58  -3 10 42.03 17.770 0.001 16.399 0.001 -0.040
ID-2545 17 37 31.59  -3 12  3.38 21.285 0.015 20.211 0.009 -0.051
ID-2546 17 37 31.59  -3 11  8.15 22.213 0.024 21.241 0.027 -0.051
ID-2547 17 37 31.60  -3 18 18.01 21.754 0.019 20.788 0.019 -0.007
ID-2548 17 37 31.61  -3  9  3.18 22.048 0.023 21.075 0.020 -0.044
ID-2549 17 37 31.61  -3 12 22.78 22.746 0.040 21.593 0.037 -0.018
