11.45	1.2
10.42	1.07
13.6	0.56
12.41	0.64
13.86	0.84
12.58	1.32
13.88	0.84
13.32	0.86
13.31	0.67
12.1	0.41
11.74	0.98
11.55	1.4
12.84	1.16
13.31	0.78
12.86	0.32
12.18	1.47
12.12	0.3
9.64	0.12
12.73	0.82
13.35	0.7
11.27	1.51
14	0.66
10.94	1.53
10.73	1.45
12.12	1.55
12.62	0.48
11.23	1.24
13.84	0.57
11.16	0.23
11.54	1.37
11.12	1.31
14.03	0.6
13.36	1.46
13.28	1.49
12.4	0.56
13.47	1.21
8.71	0.14
11.56	0.94
11.9	1.45
13.86	0.88
14.22	0.44
12.76	1.46
13.78	0.64
14.1	0.5
12.64	1.09
13.36	0.4
13.83	0.62
12.35	0.44
12.49	0.44
13.76	0.64
11.94	1.17
12.84	0.79
13.89	0.75
13.67	0.74
12.88	0.75
13.73	0.68
14.097	0.8
13.57	0.86
12.17	1.36
13.5	0.86
12.2	0.65
13.6	0.66
12.78	0.58
12.39	0.44
11.93	1.82
13.28	0.61
11.94	0.75
13.21	1.3
13.58	0.64
12.05	1.04
11.69	0.29
14.29	0.63
13.9	0.57
14.03	0.54
12.6	0.24
13.93	0.77
12.81	0.6
12.13	1.35
11.88	0.25
13.24	0.42
11.77	1.18
12.34	0.46
13.46	0.65
11.71	0.29
11.9	0.31
12.47	0.25
8.73	0.15
12.93	0.71
12.53	0.58
11.7	0.15
13.19	0.67
13.82	0.89
10.92	0.13
12.09	0.34
12.47	0.49
12.17	0.38
8.99	0.16
13.94	0.62
14.14	0.55
10.977	0.15
13.42	0.5
13.94	0.89
11.68	0.35
13.43	0.6
12.8	0.6
13.64	0.56
13.37	0.81
12.89	0.57
12.78	0.6
13.69	0.63
11.41	0.26
12.45	0.49
11.12	0.28
11.78	1.12
13.79	0.7
12.45	0.32
9.07	0.2
11.23	0.13
11.7	0.23
13.46	0.53
14.12	0.73
10.78	0.12
13.93	0.41
10.16	0.01
12.71	0.39
12.34	1.24
11.73	0.26
10.42	0.11
12.8	0.4
12.18	0.34
12.21	1.12
11.28	0.23
14.06	0.74
13.19	0.54
14.33	0.69
11.95	1.64
13.69	0.65
12.66	0.53
11.81	0.28
13.81	0.73
13.24	0.6
12.68	0.36
12.2	0.86
13.08	0.74
12.37	0.49
13.48	0.49
9.64	-0.05
12.29	1.38
13.34	0.94
14.05	0.53
11.52	0.24
12.48	0.3
10.52	0.21
12.55	0.45
13.11	1.32
9.22	0.12
11.84	0.27
12.87	0.29
11.31	0.17
13.75	0.77
11.79	0.28
10.17	1.85
13.28	0.66
9.35	0.11
11.05	0.11
8.75	0.08
14.4	0.75
12.78	0.57
8.43	0.12
12.3	0.42
10.88	0.18
12.43	0.47
14.24	0.89
13.25	0.86
12.25	0.46
12.99	0.31
13.7	0.69
12.95	0.75
13.18	1.39
13.78	0.75
11.94	0.55
12.86	0.5
12.71	1.21
13.37	0.74
12.2	0.96
13.25	0.56
14.1	0.77
13.55	0.62
12.84	0.7
13	0.87
12.84	0.52
10.84	1.56
14.16	0.74
14.51	0.72
11.63	0.43
11.9	0.49
12.97	1.56
10.9	0.1
9.88	0.01
12.06	0.09
9.25	0.02
11.74	0.29
12.29	0.32
11.81	0.18
12.55	0.57
10.13	0.08
13.91	0.88
10.92	0.03
12.99	0.42
12.72	1.38
11.94	0.51
11.86	0.64
13.45	1.38
13.76	0.59
11.97	0.39
12.69	1
14.77	0.63
14.14	0.86
13.1	0.77
14.35	0.62
13.84	0.61
14.94	0.54
14.62	0.52
12.58	1.8
13.72	0.8
12	0.25
14.15	0.82
13.32	0.88
14.49	0.5
10.99	0.15
13.16	0.87
14.25	0.82
12.1	1.7
10.97	1.72
14.28	0.8
13.44	1.37
13.47	0.57
13.65	0.79
13.78	0.76
12.1	0.47
10.41	0.1
12.93	0.37
13.26	0.6
13.19	1.4
13.44	0.76
13.77	1.31
13.49	0.37
13.59	1.49
14.2	0.23
13.23	0.58
12.34	0.43
12.78	1.57
14.42	0.68
12.97	0.75
13.19	0.86
13.13	0.93
13.22	1.06
14.27	0.55
13.31	1.49
13.74	0.73
13.15	1.12
12.88	0.51
13.22	0.79
13	1.14
14.43	0.54
14.39	0.43
13.75	0.61
11.92	1.94
14	0.88
12.9	0.77
14.39	0.65
13.29	0.71
14.26	0.78
11.19	1.1
12.94	0.62
14.05	0.7
13.69	0.61
11.48	0.16
11.76	1.32
12.96	1.61
14.25	0.63
12.11	0.5
13.26	0.32
13.85	0.72
14.43	0.58
14.14	0.4
10.64	-0.09
13.56	1.54
14.19	0.79
13.31	0.56
12.32	0.3
12.36	1.1
13.47	0.7
13.74	0.62
12.87	0.75
11.75	0.62
11.93	0.47
13.56	0.65
14.43	0.7
13.65	0.65
13.43	1.49
14.75	0.76
12.44	0.77
13.44	0.82
14.55	0.9
13.27	1.95
13.98	0.87
13.91	0.95
13.5	0.65
14.07	0.86
12.77	1.62
11.58	0.53
11.73	0.52
13.78	0.59
13.43	0.51
14.04	0.85
12.19	1.09
14.64	0.63
14.34	0.89
13.91	0.54
14.29	0.69
12.98	0.46
12.84	0.66
12.57	1.5
11.64	1.36
12.47	0.47
14.43	1
12.22	1.23
12.45	0.69
14.04	0.96
12.75	0.63
14	1.29
14.38	0.64
13.9	0.62
12.26	1.62
12.8	0.89
12.68	1.56
13.66	0.73
13.07	1.45
14.64	0.31
13.62	0.68
14.08	0.72
13.52	0.35
12.95	0.69
13.45	1
13.43	0.56
13.34	0.44
12.7	0.84
13.64	0.84
13.84	1.55
12.5	1.09
11.84	1.09
12.62	0.43
13.46	0.55
15.14	0.52
14.82	0.64
13.53	1.4
13.61	0.94
14.17	0.87
14.2	0.39
12.71	0.68
14.73	0.39
14.02	0.71
12.6	1.8
14.34	0.62
14.83	0.45
13.51	0.75
12.7	0.76
14.85	0.58
12.91	0.56
13.58	0.43
12.16	0.34
11.45	1.41
13.73	0.78
13.54	1.91
13.55	0.77
14.21	0.7
14.39	0.79
13.77	0.68
13.62	0.84
12.2	1.17
12.73	1.01
13.47	1.06
13.5	0.5
13.39	0.49
13.79	0.9
13.96	0.43
12.87	0.74
13.52	0.36
11.12	0.86
14.71	0.14
12.77	1.48
14.27	0.94
14.39	0.55
13.87	0.62
12.34	0.22
13.59	1.07
13.45	0.87
11.58	1.15
12.53	0.68
13.04	0.76
13.33	0.67
13.06	0.89
12.4	0.57
